date,open,high,low,close,adjclose,volume
2021-08-02,114.0999984741211,115.08000183105469,113.58000183105469,114.76000213623047,103.296630859375,3626500
2021-08-03,115.0199966430664,115.45999908447266,114.81999969482422,115.31999969482422,103.80068969726562,2624550
2021-08-04,115.0,115.5999984741211,114.5999984741211,114.62000274658203,103.17061614990234,3472650
2021-08-05,116.31999969482422,116.86000061035156,115.73999786376953,116.81999969482422,105.1508560180664,4437550
2021-08-06,114.45999908447266,114.55999755859375,112.4800033569336,112.87999725341797,101.60441589355469,3110100
2021-08-09,113.31999969482422,113.66000366210938,112.0,112.72000122070312,101.46040344238281,4826350
2021-08-10,112.76000213623047,113.66000366210938,112.5,112.81999969482422,101.55042266845703,3347200
2021-08-11,113.62000274658203,113.83999633789062,112.95999908447266,113.22000122070312,101.91047668457031,3078400
2021-08-12,114.12000274658203,115.08000183105469,113.41999816894531,114.91999816894531,104.26949310302734,4587350
2021-08-13,115.5999984741211,117.27999877929688,115.4800033569336,116.95999908447266,106.12042999267578,3598700
2021-08-16,116.13999938964844,117.83999633789062,116.0999984741211,117.5,106.61038208007812,3058500
2021-08-17,117.0199966430664,118.86000061035156,116.95999908447266,118.69999694824219,107.69917297363281,3453800
2021-08-18,119.12000274658203,120.37999725341797,118.80000305175781,118.87999725341797,107.86249542236328,4869400
2021-08-19,118.23999786376953,119.58000183105469,118.04000091552734,118.37999725341797,107.40882873535156,2163500
2021-08-20,118.66000366210938,119.19999694824219,118.13999938964844,118.77999877929688,107.77176666259766,1747000
2021-08-23,118.18000030517578,118.69999694824219,117.55999755859375,117.5999984741211,106.70112609863281,3057350
2021-08-24,116.72000122070312,117.13999938964844,115.72000122070312,117.04000091552734,106.19302368164062,2117000
2021-08-25,117.87999725341797,117.9000015258789,116.80000305175781,117.16000366210938,106.30189514160156,2803400
2021-08-26,117.72000122070312,118.12000274658203,116.86000061035156,117.5199966430664,106.6285400390625,1857700
2021-08-27,117.77999877929688,118.45999908447266,116.91999816894531,117.26000213623047,106.39263153076172,2622300
2021-08-30,117.33999633789062,117.62000274658203,117.0199966430664,117.22000122070312,106.35633850097656,1148250
2021-08-31,116.9000015258789,117.62000274658203,116.33999633789062,116.55999755859375,105.75750732421875,2208450
2021-09-01,117.4800033569336,117.83999633789062,116.76000213623047,117.44000244140625,106.55594635009766,2172150
2021-09-02,118.33999633789062,119.23999786376953,118.18000030517578,119.18000030517578,108.13468933105469,1627150
2021-09-03,118.30000305175781,118.4800033569336,117.26000213623047,117.66000366210938,106.75555419921875,2665300
2021-09-07,118.0199966430664,118.04000091552734,116.41999816894531,116.77999877929688,105.95711517333984,2531800
2021-09-08,114.62000274658203,114.81999969482422,113.91999816894531,114.13999938964844,103.56178283691406,1920750
2021-09-09,114.04000091552734,114.5,112.27999877929688,112.58000183105469,102.14635467529297,2815700
2021-09-10,113.62000274658203,113.69999694824219,112.5,112.5199966430664,102.0919189453125,1965400
2021-09-13,113.26000213623047,113.27999877929688,111.5999984741211,111.91999816894531,101.54752349853516,2006500
2021-09-14,112.68000030517578,112.95999908447266,111.4800033569336,111.91999816894531,101.54752349853516,3241500
2021-09-15,113.05999755859375,113.22000122070312,112.26000213623047,112.9000015258789,102.43670654296875,3461500
2021-09-16,112.94000244140625,113.45999908447266,112.0199966430664,113.19999694824219,102.70890045166016,2672350
2021-09-17,112.31999969482422,112.72000122070312,110.26000213623047,111.12000274658203,100.82167053222656,3652200
2021-09-20,112.33999633789062,117.19999694824219,112.16000366210938,117.0,106.15672302246094,8744350
2021-09-21,117.73999786376953,119.0199966430664,117.26000213623047,118.26000213623047,107.29994201660156,4347950
2021-09-22,117.33999633789062,118.16000366210938,116.41999816894531,117.4800033569336,106.59223937988281,3194100
2021-09-23,118.4800033569336,119.5199966430664,118.4800033569336,118.95999908447266,107.9350814819336,2661100
2021-09-24,121.9000015258789,122.5999984741211,120.4800033569336,120.69999694824219,109.51382446289062,5054100
2021-09-27,118.9000015258789,119.08000183105469,117.04000091552734,117.44000244140625,106.55594635009766,2924650
2021-09-28,116.77999877929688,116.77999877929688,114.22000122070312,115.26000213623047,104.5779800415039,3116300
2021-09-29,117.95999908447266,119.72000122070312,117.4800033569336,119.33999633789062,108.27986145019531,4274100
2021-09-30,119.87999725341797,121.0999984741211,119.87999725341797,120.12000274658203,108.9875717163086,3900600
2021-10-01,118.58000183105469,119.9000015258789,117.37999725341797,119.36000061035156,108.29800415039062,3035750
2021-10-04,120.0999984741211,121.0999984741211,119.76000213623047,121.08000183105469,109.85860443115234,3463050
2021-10-05,120.26000213623047,120.9800033569336,119.76000213623047,119.77999877929688,108.67908477783203,2069650
2021-10-06,119.27999877929688,119.81999969482422,118.45999908447266,119.72000122070312,108.62464904785156,3344150
2021-10-07,119.13999938964844,121.27999877929688,119.05999755859375,120.73999786376953,109.55011749267578,1910200
2021-10-08,121.4000015258789,122.22000122070312,120.95999908447266,121.22000122070312,109.9856185913086,1556700
2021-10-11,122.08000183105469,122.68000030517578,121.58000183105469,121.5999984741211,110.33040618896484,1876750
2021-10-12,121.58000183105469,121.69999694824219,120.4000015258789,120.54000091552734,109.36864471435547,1373100
2021-10-13,120.0199966430664,121.31999969482422,120.0199966430664,120.9000015258789,109.69528198242188,2226300
2021-10-14,120.77999877929688,121.16000366210938,119.26000213623047,119.33999633789062,108.27986145019531,2794450
2021-10-15,120.54000091552734,121.08000183105469,120.16000366210938,120.44000244140625,109.27791595458984,1756600
2021-10-18,119.55999755859375,119.73999786376953,118.26000213623047,118.58000183105469,107.59030151367188,2114300
2021-10-19,119.12000274658203,120.9800033569336,119.0199966430664,120.33999633789062,109.18717956542969,1702100
2021-10-20,120.58000183105469,121.55999755859375,120.44000244140625,121.26000213623047,110.02192687988281,1490750
2021-10-21,121.0199966430664,122.5,120.9800033569336,122.44000244140625,111.09256744384766,1298750
2021-10-22,123.77999877929688,124.12000274658203,123.36000061035156,123.58000183105469,112.12689208984375,1998700
2021-10-25,123.87999725341797,123.91999816894531,122.66000366210938,123.54000091552734,112.09061431884766,1572350
2021-10-26,123.86000061035156,124.69999694824219,123.58000183105469,124.5199966430664,112.97978973388672,1234850
2021-10-27,125.26000213623047,125.37999725341797,123.22000122070312,123.54000091552734,112.09061431884766,1256750
2021-10-28,124.05999755859375,125.72000122070312,123.9800033569336,124.37999725341797,112.8527603149414,1264950
2021-10-29,124.77999877929688,124.91999816894531,123.91999816894531,124.76000213623047,113.19754791259766,1975650
2021-11-01,124.37999725341797,125.55999755859375,124.0999984741211,124.91999816894531,113.34272003173828,1409900
2021-11-02,125.87999725341797,128.4199981689453,125.27999877929688,127.12000274658203,115.33881378173828,2727600
2021-11-03,127.9000015258789,128.13999938964844,126.87999725341797,127.66000366210938,115.82878875732422,1985050
2021-11-04,127.58000183105469,127.9800033569336,127.0199966430664,127.66000366210938,115.82878875732422,1405950
2021-11-05,125.5999984741211,126.27999877929688,124.45999908447266,126.18000030517578,114.48595428466797,2034250
2021-11-08,127.31999969482422,127.73999786376953,125.94000244140625,125.9800033569336,114.30449676513672,2278500
2021-11-09,125.87999725341797,125.9800033569336,125.16000366210938,125.4000015258789,113.77823638916016,1809100
2021-11-10,126.54000091552734,126.9000015258789,125.94000244140625,126.27999877929688,114.57669067382812,1259550
2021-11-11,126.08000183105469,126.58000183105469,125.69999694824219,125.83999633789062,114.17744445800781,1226000
2021-11-12,120.68000030517578,121.05999755859375,116.94000244140625,117.5999984741211,106.70112609863281,7077900
2021-11-15,119.83999633789062,120.73999786376953,118.37999725341797,119.55999755859375,108.4794692993164,3977850
2021-11-16,115.19999694824219,116.41999816894531,113.87999725341797,115.26000213623047,104.5779800415039,3987250
2021-11-17,116.0,116.68000030517578,115.18000030517578,115.45999908447266,104.75944519042969,2608350
2021-11-18,113.77999877929688,114.16000366210938,112.16000366210938,113.41999816894531,102.90851593017578,3977900
2021-11-19,114.62000274658203,114.94000244140625,113.12000274658203,113.31999969482422,102.81778717041016,2400350
2021-11-22,113.23999786376953,113.72000122070312,112.5,113.0999984741211,102.61817169189453,2536750
2021-11-23,112.69999694824219,113.87999725341797,112.45999908447266,113.45999908447266,102.9448013305664,2913600
2021-11-24,112.5999984741211,113.05999755859375,112.30000305175781,112.68000030517578,102.2370834350586,1583000
