date,open,high,low,close,adjclose,volume
2021-08-02,467200.0,473600.0,454400.0,460800.0,460800.0,9
2021-08-03,460800.0,467200.0,435200.0,441600.0,441600.0,13
2021-08-04,441600.0,441600.0,416000.0,422400.0,422400.0,16
2021-08-05,422400.0,448000.0,416000.0,441600.0,441600.0,18
2021-08-06,448000.0,448000.0,428800.0,441600.0,441600.0,14
2021-08-09,435200.0,460800.0,428800.0,448000.0,448000.0,11
2021-08-10,460800.0,524800.0,454400.0,499200.0,499200.0,34
2021-08-11,486400.0,486400.0,448000.0,460800.0,460800.0,23
2021-08-12,454400.0,460800.0,435200.0,448000.0,448000.0,12
2021-08-13,448000.0,448000.0,435200.0,435200.0,435200.0,11
2021-08-16,435200.0,448000.0,428800.0,435200.0,435200.0,14
2021-08-17,435200.0,441600.0,416000.0,428800.0,428800.0,14
2021-08-18,422400.0,467200.0,416000.0,428800.0,428800.0,25
2021-08-19,435200.0,454400.0,422400.0,435200.0,435200.0,27
2021-08-20,428800.0,448000.0,422400.0,422400.0,422400.0,17
2021-08-23,428800.0,441600.0,422400.0,441600.0,441600.0,17
2021-08-24,492800.0,499200.0,441600.0,454400.0,454400.0,56
2021-08-25,448000.0,454400.0,435200.0,441600.0,441600.0,18
2021-08-26,448000.0,454400.0,441600.0,448000.0,448000.0,20
2021-08-27,448000.0,454400.0,441600.0,454400.0,454400.0,13
2021-08-30,448000.0,454400.0,441600.0,441600.0,441600.0,12
2021-08-31,441600.0,454400.0,441600.0,454400.0,454400.0,14
2021-09-01,448000.0,467200.0,448000.0,467200.0,467200.0,15
2021-09-02,460800.0,480000.0,454400.0,473600.0,473600.0,15
2021-09-03,467200.0,467200.0,448000.0,454400.0,454400.0,15
2021-09-07,448000.0,454400.0,441600.0,448000.0,448000.0,14
2021-09-08,441600.0,441600.0,416000.0,428800.0,428800.0,18
2021-09-09,428800.0,435200.0,416000.0,435200.0,435200.0,12
2021-09-10,435200.0,435200.0,416000.0,422400.0,422400.0,13
2021-09-13,435200.0,441600.0,416000.0,422400.0,422400.0,18
2021-09-14,422400.0,428800.0,390400.0,390400.0,390400.0,27
2021-09-15,396800.0,403200.0,384000.0,396800.0,396800.0,12
