date,open,high,low,close,adjclose,volume
2021-08-02,112.0999984741211,114.69999694824219,109.0,109.9000015258789,109.9000015258789,1540
2021-08-03,109.9000015258789,109.9000015258789,105.5,107.5,107.5,1860
2021-08-04,101.0,106.9000015258789,100.44999694824219,101.4000015258789,101.4000015258789,4630
2021-08-05,103.69999694824219,105.30000305175781,103.0,103.80000305175781,103.80000305175781,2490
2021-08-06,105.0,105.0,98.5,100.30000305175781,100.30000305175781,3240
2021-08-09,99.0,102.79000091552734,99.0,100.9000015258789,100.9000015258789,3020
2021-08-10,101.0,101.0,98.80000305175781,99.5999984741211,99.5999984741211,2180
2021-08-11,98.9000015258789,99.5,95.5999984741211,96.5,96.5,1630
2021-08-12,96.80000305175781,98.19999694824219,96.80000305175781,97.9000015258789,97.9000015258789,1340
2021-08-13,97.19999694824219,98.69999694824219,96.9000015258789,98.69999694824219,98.69999694824219,1070
2021-08-16,97.19999694824219,100.1500015258789,91.0999984741211,93.19999694824219,93.19999694824219,1790
2021-08-17,91.5999984741211,94.19999694824219,91.0,92.0,92.0,1020
2021-08-18,92.5999984741211,95.0,91.27999877929688,92.69999694824219,92.69999694824219,1210
2021-08-19,92.0999984741211,94.9000015258789,92.0999984741211,94.5999984741211,94.5999984741211,410
2021-08-20,94.0999984741211,95.0,93.5,93.69999694824219,93.69999694824219,400
2021-08-23,94.9000015258789,94.9000015258789,90.5,93.25,93.25,1460
2021-08-24,93.0,99.0,92.80000305175781,97.69999694824219,97.69999694824219,540
2021-08-25,98.5999984741211,98.5999984741211,92.30000305175781,97.4000015258789,97.4000015258789,1560
2021-08-26,97.0,97.0,93.5,95.30000305175781,95.30000305175781,740
2021-08-27,94.19999694824219,95.7300033569336,93.0,95.4000015258789,95.4000015258789,2910
2021-08-30,94.4000015258789,97.19999694824219,94.4000015258789,96.9000015258789,96.9000015258789,250
2021-08-31,96.5999984741211,98.5999984741211,95.0,98.19999694824219,98.19999694824219,1820
2021-09-01,98.5,98.5,94.69999694824219,98.0,98.0,2230
