date,open,high,low,close,adjclose,volume
2021-08-02,318.7900085449219,328.6000061035156,313.260009765625,327.4200134277344,327.4200134277344,439000
2021-08-03,328.1199951171875,343.0,323.0299987792969,341.45001220703125,341.45001220703125,478800
2021-08-04,341.44000244140625,348.9949951171875,339.0400085449219,343.0899963378906,343.0899963378906,332500
2021-08-05,343.510009765625,346.0,330.8500061035156,335.8800048828125,335.8800048828125,272200
2021-08-06,328.29998779296875,328.29998779296875,315.6499938964844,321.45001220703125,321.45001220703125,158000
2021-08-09,317.45001220703125,327.8699951171875,315.29998779296875,319.20001220703125,319.20001220703125,228200
2021-08-10,320.29998779296875,321.07000732421875,310.5,315.45001220703125,315.45001220703125,129100
2021-08-11,301.0299987792969,303.4100036621094,275.6310119628906,279.7200012207031,279.7200012207031,594900
2021-08-12,281.0299987792969,288.9599914550781,269.25,288.510009765625,288.510009765625,436400
2021-08-13,283.989990234375,286.95001220703125,275.82000732421875,276.19000244140625,276.19000244140625,156500
2021-08-16,278.1199951171875,286.3999938964844,272.760009765625,280.55999755859375,280.55999755859375,247200
2021-08-17,274.0199890136719,285.0899963378906,271.0799865722656,281.5299987792969,281.5299987792969,408300
2021-08-18,283.0,294.989990234375,282.010009765625,289.9599914550781,289.9599914550781,359000
2021-08-19,288.42999267578125,289.42999267578125,268.8699951171875,275.44000244140625,275.44000244140625,601700
2021-08-20,274.29998779296875,276.8399963378906,238.8800048828125,249.60000610351562,249.60000610351562,1445300
2021-08-23,256.0,275.260009765625,255.05999755859375,273.3299865722656,273.3299865722656,492500
2021-08-24,283.0,294.3900146484375,283.0,285.4700012207031,285.4700012207031,442400
2021-08-25,282.0299987792969,292.8500061035156,280.2640075683594,290.1199951171875,290.1199951171875,140000
2021-08-26,290.0,291.4209899902344,280.0,282.82000732421875,282.82000732421875,185700
2021-08-27,287.6600036621094,288.29998779296875,277.5950012207031,281.9800109863281,281.9800109863281,224200
2021-08-30,290.79998779296875,303.2699890136719,290.010009765625,301.82000732421875,301.82000732421875,438900
2021-08-31,305.54998779296875,308.3399963378906,294.3699951171875,308.29998779296875,308.29998779296875,510600
2021-09-01,310.5299987792969,328.6499938964844,308.79998779296875,327.260009765625,327.260009765625,508400
2021-09-02,330.0,333.010009765625,320.6099853515625,333.010009765625,333.010009765625,296600
2021-09-03,334.0,339.0899963378906,329.0899963378906,336.32000732421875,336.32000732421875,232500
2021-09-07,343.0,350.9100036621094,336.81500244140625,346.6099853515625,346.6099853515625,345500
2021-09-08,335.1099853515625,346.6099853515625,333.6700134277344,342.6400146484375,342.6400146484375,165000
2021-09-09,338.0,345.7699890136719,334.7900085449219,337.3399963378906,337.3399963378906,192800
2021-09-10,343.79998779296875,352.4700012207031,342.6700134277344,351.989990234375,351.989990234375,235300
2021-09-13,352.0,367.0,350.6400146484375,364.2300109863281,364.2300109863281,549100
2021-09-14,364.2300109863281,370.989990234375,361.55999755859375,368.8900146484375,368.8900146484375,398000
2021-09-15,377.0,383.8800048828125,370.6449890136719,375.3299865722656,375.3299865722656,578700
2021-09-16,381.79998779296875,386.2900085449219,377.510009765625,385.239990234375,385.239990234375,392800
2021-09-17,422.0,426.55999755859375,395.0,403.1400146484375,403.1400146484375,1364200
2021-09-20,392.0,413.3299865722656,390.6700134277344,398.5,398.5,554000
2021-09-21,399.92999267578125,405.114990234375,387.25,388.510009765625,388.510009765625,220300
2021-09-22,388.67999267578125,396.260009765625,378.135009765625,388.17999267578125,388.17999267578125,228600
2021-09-23,378.9100036621094,387.0199890136719,372.07000732421875,385.4200134277344,385.4200134277344,209100
2021-09-24,379.0,381.8550109863281,372.0799865722656,379.5199890136719,379.5199890136719,206500
2021-09-27,375.07000732421875,378.05999755859375,367.0299987792969,377.17999267578125,377.17999267578125,261000
2021-09-28,376.9200134277344,376.9200134277344,357.0,363.79998779296875,363.79998779296875,303300
2021-09-29,361.010009765625,367.239990234375,358.0,361.54998779296875,361.54998779296875,235200
2021-09-30,364.6600036621094,375.19000244140625,362.0,363.0,363.0,277200
2021-10-01,359.55999755859375,360.2699890136719,349.5150146484375,356.7099914550781,356.7099914550781,206600
2021-10-04,351.75,359.1700134277344,344.7900085449219,353.82000732421875,353.82000732421875,131400
2021-10-05,353.0,354.99798583984375,346.489990234375,347.3500061035156,347.3500061035156,185000
2021-10-06,339.6300048828125,345.9800109863281,334.92999267578125,339.0,339.0,308700
2021-10-07,345.0,360.6400146484375,344.6600036621094,360.0,360.0,311200
2021-10-08,356.6000061035156,367.8699951171875,354.1099853515625,363.239990234375,363.239990234375,164600
2021-10-11,359.79998779296875,366.82000732421875,356.0,363.5299987792969,363.5299987792969,185800
2021-10-12,369.0799865722656,369.0799865722656,356.9200134277344,357.9200134277344,357.9200134277344,129200
2021-10-13,355.3500061035156,359.0,353.45001220703125,356.4100036621094,356.4100036621094,105400
2021-10-14,356.3999938964844,358.95001220703125,348.9700012207031,355.4599914550781,355.4599914550781,124000
2021-10-15,358.54998779296875,359.1600036621094,351.04998779296875,358.42999267578125,358.42999267578125,126900
2021-10-18,355.7149963378906,363.3900146484375,355.04998779296875,360.80999755859375,360.80999755859375,121100
2021-10-19,360.92999267578125,379.3599853515625,360.4599914550781,376.0,376.0,183400
2021-10-20,380.0,380.67999267578125,369.1099853515625,372.6000061035156,372.6000061035156,107400
2021-10-21,370.4200134277344,379.95001220703125,368.04998779296875,375.2799987792969,375.2799987792969,74500
2021-10-22,375.2799987792969,379.94000244140625,367.8399963378906,378.8800048828125,378.8800048828125,93900
2021-10-25,380.0,387.7200012207031,374.0,387.45001220703125,387.45001220703125,96100
2021-10-26,390.0,391.4830017089844,381.2799987792969,383.6400146484375,383.6400146484375,131700
2021-10-27,375.6600036621094,380.1700134277344,367.2699890136719,367.2699890136719,367.2699890136719,126100
2021-10-28,365.260009765625,367.7099914550781,356.57000732421875,364.5799865722656,364.5799865722656,132900
2021-10-29,361.75,365.45001220703125,354.4599914550781,357.7200012207031,357.7200012207031,145200
2021-11-01,353.42999267578125,358.0849914550781,348.9599914550781,357.4599914550781,357.4599914550781,117800
2021-11-02,355.3800048828125,361.1099853515625,353.0400085449219,358.3299865722656,358.3299865722656,150600
2021-11-03,358.29998779296875,377.2699890136719,352.9100036621094,373.7200012207031,373.7200012207031,146900
2021-11-04,375.5899963378906,382.4800109863281,364.5899963378906,368.8900146484375,368.8900146484375,172600
2021-11-05,350.010009765625,370.2850036621094,350.010009765625,364.989990234375,364.989990234375,166100
2021-11-08,360.0299987792969,363.0,342.260009765625,349.8399963378906,349.8399963378906,295400
2021-11-09,360.0,376.45001220703125,358.0,369.6499938964844,369.6499938964844,247300
2021-11-10,378.1289978027344,386.7200012207031,366.57000732421875,368.0,368.0,259400
2021-11-11,365.0,370.3399963378906,362.6700134277344,368.6099853515625,368.6099853515625,143500
2021-11-12,372.0299987792969,383.25,369.95001220703125,378.67999267578125,378.67999267578125,117500
