date,open,high,low,close,adjclose
2024-07-01,1047.1099853515625,1069.68994140625,1045.0,1057.02001953125,1048.3612060546875
2024-07-02,1054.0,1058.1700439453125,1030.22998046875,1044.6600341796875,1036.1024169921875
2024-07-03,1042.280029296875,1047.239990234375,1011.6699829101562,1024.0899658203125,1015.700927734375
2024-07-05,1027.469970703125,1040.050048828125,1025.800048828125,1034.22998046875,1025.7579345703125
2024-07-08,1039.510009765625,1054.5999755859375,1037.3199462890625,1052.25,1043.63037109375
2024-07-09,1055.8299560546875,1059.010009765625,1040.010009765625,1054.030029296875,1045.395751953125
2024-07-10,1057.1700439453125,1072.3299560546875,1053.280029296875,1071.1199951171875,1062.345703125
2024-07-11,1065.9300537109375,1091.4000244140625,1065.9300537109375,1080.27001953125,1071.4208984375
2024-07-12,1092.0799560546875,1106.1600341796875,1084.93994140625,1100.050048828125,1091.0386962890625
2024-07-15,1097.2900390625,1100.030029296875,1079.280029296875,1082.1099853515625,1073.2454833984375
2024-07-16,1087.8900146484375,1100.0799560546875,1079.0899658203125,1094.989990234375,1086.020263671875
2024-07-17,1093.010009765625,1100.0,1076.77001953125,1085.6199951171875,1076.7269287109375
2024-07-18,1091.4000244140625,1098.969970703125,1065.4300537109375,1067.260009765625,1058.517333984375
2024-07-19,1072.18994140625,1076.72998046875,1060.739990234375,1063.5999755859375,1054.8873291015625
2024-07-22,1075.3499755859375,1078.7099609375,1064.949951171875,1069.739990234375,1060.9769287109375
2024-07-23,1077.800048828125,1077.800048828125,1055.3399658203125,1055.5699462890625,1046.9229736328125
2024-07-24,1056.0,1066.4300537109375,1052.81005859375,1060.8599853515625,1052.169677734375
2024-07-25,1070.75,1102.949951171875,1061.719970703125,1064.18994140625,1055.472412109375
2024-07-26,1067.5400390625,1091.31005859375,1067.5400390625,1078.6300048828125,1069.7940673828125
2024-07-29,1073.6199951171875,1085.0,1073.4100341796875,1077.18994140625,1068.365966796875
2024-07-30,1082.6400146484375,1092.4599609375,1066.9200439453125,1077.800048828125,1068.9710693359375
2024-07-31,1082.199951171875,1090.8399658203125,1073.22998046875,1079.18994140625,1070.349609375
2024-08-01,1060.8599853515625,1101.199951171875,1041.8499755859375,1093.1400146484375,1084.185302734375
2024-08-02,1099.77001953125,1115.0,1071.97998046875,1082.18994140625,1073.3248291015625
2024-08-05,1082.0,1090.4200439453125,1050.010009765625,1071.280029296875,1062.5045166015625
2024-08-06,1064.22998046875,1090.780029296875,1064.22998046875,1066.18994140625,1057.4559326171875
2024-08-07,1074.3800048828125,1077.0899658203125,1061.4599609375,1067.800048828125,1059.052978515625
2024-08-08,1074.6199951171875,1114.9000244140625,1069.030029296875,1113.3499755859375,1104.2296142578125
2024-08-09,1113.0,1133.0,1111.1099853515625,1131.239990234375,1121.97314453125
2024-08-12,1124.6099853515625,1129.989990234375,1109.989990234375,1121.0899658203125,1111.90625
2024-08-13,1125.56005859375,1160.4599609375,1122.510009765625,1158.3299560546875,1148.841064453125
2024-08-14,1152.27001953125,1161.2099609375,1138.6700439453125,1156.8599853515625,1147.38330078125
2024-08-15,1167.31005859375,1177.949951171875,1155.31005859375,1175.3299560546875,1165.7020263671875
2024-08-16,1175.0,1185.0899658203125,1166.719970703125,1179.31005859375,1169.6494140625
2024-08-19,1180.02001953125,1197.68994140625,1178.1800537109375,1196.8800048828125,1187.075439453125
2024-08-20,1196.8800048828125,1201.5899658203125,1185.8699951171875,1192.22998046875,1182.4637451171875
2024-08-21,1194.7099609375,1203.489990234375,1184.030029296875,1185.3399658203125,1175.630126953125
2024-08-22,1189.699951171875,1191.8399658203125,1180.0,1187.6600341796875,1177.9310302734375
2024-08-23,1195.719970703125,1202.239990234375,1190.0,1199.1199951171875,1189.2969970703125
2024-08-26,1199.1199951171875,1206.81005859375,1195.6700439453125,1199.3699951171875,1189.5450439453125
2024-08-27,1199.3399658203125,1211.199951171875,1197.1300048828125,1201.760009765625,1191.9154052734375
2024-08-28,1196.06005859375,1206.6600341796875,1190.1700439453125,1199.2900390625,1189.4658203125
2024-08-29,1204.719970703125,1210.969970703125,1175.4599609375,1178.9300537109375,1169.2724609375
2024-08-30,1179.199951171875,1191.3299560546875,1170.8399658203125,1184.68994140625,1174.9853515625
2024-09-03,1178.72998046875,1192.5400390625,1162.8699951171875,1168.81005859375,1159.2354736328125
2024-09-04,1168.81005859375,1182.31005859375,1163.3499755859375,1179.3699951171875,1169.708984375
2024-09-05,1175.1600341796875,1175.1600341796875,1143.239990234375,1150.56005859375,1141.1351318359375
2024-09-06,1150.0,1152.8699951171875,1128.969970703125,1131.5,1122.2310791015625
2024-09-09,1137.1800537109375,1151.1300048828125,1132.510009765625,1144.77001953125,1135.392333984375
