ticker,pdufa_date,outcome,confidence,cohort,year,entry_date,exit_date,entry_px,ret,excess,beat_xbi,rs_21,rs_63,rs_126,mom_126,beta_xbi,atr14,dnvol_60,review_priority,prior_fda_approvals,adv_usd,premom_60_30,prevol_60_30,xbi_above_200d,xbi_ret_63d,vix,tnx,tnx_chg_63d,split
ACHV,2026-06-22,CRL,other,P,2026,2026-05-22,2026-06-15,4.69,0.19403,0.158028,1,0.151163,0.074437,-0.068025,0.085648,1.1371,0.09199,0.05083,,0,6246771.0,0.13012,0.051826,1,0.036938,16.7,4.558,0.1313,OOS
MRK,2026-06-18,Approved,other,P,2026,2026-05-19,2026-06-11,113.4243,0.057073,0.010145,1,0.055408,-0.063509,0.133362,0.249137,0.2791,0.02307,0.01113,,58,945384387.0,-0.040564,0.01497,1,0.009475,18.06,4.667,0.1442,OOS
GSK,2026-06-17,Approved,other,P,2026,2026-05-18,2026-06-10,50.26,0.018106,0.008863,1,-0.051458,-0.184452,-0.07327,0.071332,0.3007,0.02345,0.01285,,0,223625462.0,-0.130783,0.01607,1,0.024392,17.82,4.623,0.1409,OOS
SPRO,2026-06-17,Approved,other,P,2026,2026-05-18,2026-06-10,2.58,-0.015504,-0.024747,0,0.017507,0.07348,-0.087225,0.057377,0.6461,0.06262,0.0201,,0,1423454.0,-0.061818,0.040419,1,0.024392,17.82,4.623,0.1409,OOS
ABBV,2026-06-16,Approved,other,P,2026,2026-05-15,2026-06-09,210.39,0.071439,0.066159,1,0.041912,-0.147379,-0.232215,-0.083127,0.3377,0.02766,0.01146,STANDARD,96,1360479422.0,0.009646,0.016086,1,0.063731,18.43,4.595,0.1329,OOS
BAYRY,2026-06-15,Approved,other,P,2026,2026-05-15,2026-06-08,10.9,-0.068807,-0.051514,0,-0.038287,-0.258673,0.157089,0.306176,0.4165,0.02661,0.01858,,6,16957823.0,-0.0735,0.024851,1,0.063731,18.43,4.595,0.1329,OOS
MRK,2026-06-12,Approved,other,P,2026,2026-05-13,2026-06-05,112.64,0.064698,0.117551,1,-0.055226,-0.131924,0.090655,0.328728,0.3128,0.02453,0.01089,,58,1048498166.0,-0.055764,0.016393,1,0.089852,17.87,4.481,0.0741,OOS
AZN,2026-06-12,Approved,other,P,2026,2026-05-13,2026-06-05,187.72,-0.009429,0.043424,1,-0.082473,-0.163513,-0.153956,0.084117,0.3268,0.02005,0.01016,STANDARD,59,391715324.0,-0.071796,0.013211,1,0.089852,17.87,4.481,0.0741,OOS
LLY,2026-06-09,Approved,other,P,2026,2026-05-08,2026-06-02,946.8201,0.12392,0.175512,1,-0.02898,-0.175502,-0.209905,0.027671,0.5497,0.03372,0.01456,STANDARD,68,3213583494.0,0.009559,0.028554,1,0.073301,17.19,4.364,0.0376,OOS
PFE,2026-06-08,Approved,other,P,2026,2026-05-08,2026-06-01,25.68,-0.001947,0.006144,1,-0.062927,-0.114304,-0.140115,0.097461,0.2642,0.02359,0.00909,STANDARD,92,979438603.0,-0.041003,0.009982,1,0.073301,17.19,4.364,0.0376,OOS
XOMA,2026-06-08,Approved,other,P,2026,2026-05-08,2026-06-01,41.89,-0.004774,0.003317,1,0.11763,0.611735,0.017367,0.254943,0.5487,0.03139,0.01081,,0,17038172.0,0.139554,0.028621,1,0.073301,17.19,4.364,0.0376,OOS
LGND,2026-06-08,Approved,other,P,2026,2026-05-08,2026-06-01,221.41,0.037803,0.045895,1,0.054764,0.089322,-0.074586,0.16299,0.6857,0.05046,0.01907,,0,53340569.0,0.076687,0.037643,1,0.073301,17.19,4.364,0.0376,OOS
ZVRA,2026-06-08,Approved,other,P,2026,2026-05-08,2026-06-01,11.13,0.032345,0.040437,1,0.124317,0.220885,-0.132313,0.105263,0.7637,0.04935,0.01632,,0,11279096.0,0.146241,0.029545,1,0.073301,17.19,4.364,0.0376,OOS
