ticker,marketCap,tier,shares,float,avgvol3m,name
REGN,69667635200,>10B,103021886,103021886,1007237,"Regeneron Pharmaceuticals, Inc."
REPL,922557312,500M-2B,83945161,83945161,6668924,"Replimune Group, Inc."
RGNX,721181760,500M-2B,51697621,51697621,1954011,REGENXBIO Inc.
RHHBY,334282129408,>10B,5511413096,5511413096,2098993,Roche Holding AG
RNAZ,8391167,<500M,950302,950302,59691,"TransCode Therapeutics, Inc."
RPRX,32494211072,>10B,443274104,443274104,3770911,Royalty Pharma plc
RYTM,7435543552,2-10B,68593574,68593574,808672,"Rhythm Pharmaceuticals, Inc."
SLNO,,n/a,,,,
SLS,2509031680,2-10B,196632574,196632574,9198924,"SELLAS Life Sciences Group, Inc."
SNDX,2092082688,2-10B,88610027,88610027,1937681,"Syndax Pharmaceuticals, Inc."
SNSE,,n/a,,,,
SNY,104128946176,>10B,2393769026,2393769026,3206321,Sanofi
SPRO,121593128,<500M,57901493,57901493,999504,"Spero Therapeutics, Inc."
SPRY,788467904,500M-2B,99303262,99303262,1815977,"ARS Pharmaceuticals, Inc."
SRPT,2000669568,2-10B,105576222,105576222,3278373,"Sarepta Therapeutics, Inc."
SRRK,6795464704,2-10B,119828338,119828338,1463778,Scholar Rock Holding Corporation
SUPN,2812604672,2-10B,58039721,58039721,768588,"Supernus Pharmaceuticals, Inc."
SVRA,1235711104,500M-2B,204927212,204927212,1614891,Savara Inc.
SWTX,,n/a,,,,
TAK,52884406272,>10B,3193502878,3193502878,2962939,Takeda Pharmaceutical Company Limited
TARA,242802304,<500M,56204237,56204237,754449,"Protara Therapeutics, Inc."
TEVA,38367870976,>10B,1164426972,1164426972,6313209,Teva Pharmaceutical Industries Limited
TLX,3773976576,2-10B,338777049,338777049,185386,Telix Pharmaceuticals Limited
TNXP,199738240,<500M,15940801,15940801,494022,Tonix Pharmaceuticals Holding Corp.
TRAW,11573529,<500M,15228328,15228328,2411726,"Traws Pharma, Inc."
TURN,,n/a,,,,
TVTX,5262468608,2-10B,92992905,92992905,2516514,"Travere Therapeutics, Inc."
UNCY,142717680,<500M,27393027,27393027,1437190,"Unicycive Therapeutics, Inc."
URGN,1878708864,500M-2B,48721701,48721701,814442,UroGen Pharma Ltd.
VALN,515704192,500M-2B,102119642,102119642,50436,Valneva SE
VERA,3014882048,2-10B,71782904,71782904,1544180,"Vera Therapeutics, Inc."
VNDA,375245888,<500M,60135562,60135562,1022018,Vanda Pharmaceuticals Inc.
VRDN,2179842304,2-10B,110427682,110427682,2551983,"Viridian Therapeutics, Inc."
VRTX,123194621952,>10B,253805417,253805417,1498104,Vertex Pharmaceuticals Incorporated
VSTM,485941248,<500M,87873639,87873639,2621886,"Verastem, Inc."
WVE,1202513792,500M-2B,192402202,192402202,3838131,Wave Life Sciences Ltd.
XERS,1439834752,500M-2B,172642055,172642055,1871747,"Xeris Biopharma Holdings, Inc."
XNCR,1175144448,500M-2B,74141596,74141596,831631,"Xencor, Inc."
XOMA,781753984,500M-2B,17678742,17678742,230688,XOMA Royalty Corporation
XRTX,3763978,<500M,1730565,1730565,1249870,XORTX Therapeutics Inc.
ZLAB,2313782784,2-10B,112922546,112922546,909475,Zai Lab Limited
ZVRA,789186368,500M-2B,59115084,59115084,1683665,"Zevra Therapeutics, Inc."
