ticker,pdufa_date,outcome,confidence,cohort,year,entry_date,exit_date,entry_px,ret,excess,beat_xbi,mae,adv_usd,premom_60_30,prevol_60_30,xbi_above_200d,xbi_ret_63d,vix,tnx,tnx_chg_63d,split
PHAR,2026-02-01,CRL,source-verified,P,2026,2026-01-02,2026-01-23,17.14,0.149358,0.095705,1,-0.034422,475930.0,0.084124,0.041987,1,0.18844,14.51,4.187,0.0242,OOS
GKOS,2026-01-28,Approved,price-only,P,2026,2025-12-29,2026-01-21,115.55,0.074513,0.035693,1,-0.186846,77736442.0,0.08712,0.011458,1,0.245455,14.2,4.116,-0.006,OOS
JNJ,2026-01-27,Approved,price-only,P,2026,2025-12-26,2026-01-20,205.3511,0.050956,0.048476,1,-0.021627,1752740086.0,0.003431,0.012118,1,0.280178,13.6,4.136,-0.0122,OOS
GLSI,2026-01-22,Approved,price-only,P,2026,2025-12-23,2026-01-15,14.57,0.866163,0.870487,1,-0.100206,3839338.0,0.78773,0.053145,1,0.285952,14.0,4.169,0.0053,OOS
IBRX,2026-01-16,CRL,source-verified,P,2026,2025-12-17,2026-01-09,2.11,0.104265,0.071424,1,-0.075829,28284333.0,0.039409,0.048078,1,0.251284,17.62,4.151,0.0115,OOS
EBS,2026-01-14,Approved,price-only,P,2026,2025-12-15,2026-01-07,12.33,0.127332,0.094702,1,-0.077048,9346876.0,0.219585,0.043461,1,0.310803,16.5,4.182,0.0387,OOS
FBIO,2026-01-13,Approved,price-only,P,2026,2025-12-12,2026-01-06,2.93,0.43686,0.442026,1,-0.010239,849315.0,0.118321,0.029004,1,0.318257,15.74,4.194,0.0397,OOS
ATRA,2026-01-12,CRL,price-only,P,2026,2025-12-12,2026-01-05,17.995,-0.063073,-0.042099,0,-0.082523,1055036.0,0.343913,0.05285,1,0.318257,15.74,4.194,0.0397,OOS
OTLK,2025-12-31,CRL,price-only,P,2025,2025-12-01,2025-12-24,1.86,-0.016129,-0.073433,0,-0.096774,8114840.0,0.47619,0.063036,1,0.290739,17.24,4.096,-0.0423,IS
CORT,2025-12-31,CRL,price-only,P,2025,2025-12-01,2025-12-24,79.78,0.047756,-0.009547,0,-0.027952,49730508.0,0.085885,0.028469,1,0.290739,17.24,4.096,-0.0423,IS
VNDA,2025-12-30,Approved,price-only,P,2025,2025-11-28,2025-12-23,5.36,0.276119,0.258718,1,-0.087687,4466125.0,0.232184,0.054195,1,0.371116,16.35,4.017,-0.0497,IS
SNY,2025-12-28,CRL,price-only,P,2025,2025-11-28,2025-12-19,47.2583,-0.034082,-0.036274,0,-0.0061,111247555.0,-0.015785,0.013135,1,0.371116,16.35,4.017,-0.0497,IS
