This file was created using the 202605 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on VAR.

The portfolios are constructed at the end of each month.

The residual return variance is measured over 60 days up to formation month-end requiring at least 20 non-missing daily returns.  
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Value Weighted Returns -- Monthly
,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
196606,   -2.03,   -0.26,   -0.56,   -0.31,    2.45,   -2.27,   -1.35,    0.03,   -0.58,   -1.17,    0.38,   -1.14,    0.63,    2.59,    2.29
196607,   -0.54,   -2.08,   -2.07,   -1.74,   -2.40,   -0.37,   -0.88,   -3.02,   -0.71,   -1.51,   -3.04,   -3.12,   -0.11,   -1.00,   -3.84
196608,   -6.31,   -8.68,   -8.15,   -8.95,  -10.27,   -5.89,   -7.07,   -8.11,   -9.37,   -8.31,   -7.83,   -9.07,   -8.82,   -9.12,  -11.83
196609,   -0.22,    0.71,   -0.45,   -2.71,   -4.80,    0.35,   -1.76,   -0.26,    2.19,    0.55,   -1.74,   -1.71,   -4.18,   -5.36,   -4.07
196610,    5.78,    5.18,    5.59,    2.01,   -6.58,    6.30,    4.36,    6.36,    3.77,    6.21,    4.79,    3.87,   -0.98,   -4.77,   -9.45
196611,   -0.87,    1.37,    2.50,    5.99,   14.22,   -1.52,    0.14,    2.16,    0.49,    2.33,    2.73,    4.16,    8.22,   14.71,   13.29
196612,   -0.12,    0.66,    1.65,    1.09,    1.41,    0.01,   -0.41,    1.08,    0.22,    2.70,    0.34,    0.09,    2.51,    2.13,    0.22
196701,    6.92,    7.40,   10.05,   11.63,   18.49,    7.53,    5.58,    6.86,    8.05,    8.82,   11.27,   10.06,   14.20,   15.00,   22.87
196702,    0.67,    0.72,    1.69,    1.77,    4.56,    1.35,   -0.68,   -0.32,    1.91,    1.85,    1.47,    2.39,    1.05,    2.76,    6.25
196703,    3.82,    4.54,    4.94,    6.98,    4.77,    3.25,    4.72,    5.33,    3.69,    4.68,    5.34,    6.06,    8.73,    3.46,    6.21
196704,    3.97,    3.47,    5.79,    4.89,    5.01,    3.47,    4.93,    2.74,    4.25,    4.27,    7.65,    5.52,    4.06,    6.29,    3.79
196705,   -4.42,   -3.86,   -4.10,   -2.31,   -2.28,   -3.99,   -5.29,   -3.68,   -4.09,   -4.39,   -3.80,   -3.22,   -1.29,   -1.73,   -2.81
196706,    1.45,    1.44,    3.90,    6.35,   10.63,    1.48,    1.40,    1.30,    1.65,    4.46,    3.27,    5.47,    7.56,    8.70,   12.17
196707,    3.59,    5.33,    5.73,    7.58,    8.12,    2.51,    6.49,    6.74,    4.10,    5.23,    6.42,    7.46,    7.71,    6.46,    9.76
196708,   -0.75,   -0.35,    0.20,   -1.00,   -1.60,   -1.06,   -0.42,    1.02,   -1.75,    0.89,   -0.85,   -0.10,   -2.30,   -0.99,   -2.22
196709,    3.42,    2.87,    3.33,    3.35,    5.38,    4.47,    2.53,    2.84,    2.91,    3.74,    2.77,    2.89,    4.11,    4.31,    6.35
196710,   -1.67,   -4.89,   -4.93,   -0.39,   -2.03,    0.30,   -3.58,   -5.06,   -4.71,   -5.01,   -4.83,   -0.39,   -0.38,   -1.10,   -2.89
196711,    0.89,   -0.31,    0.84,    1.49,    0.95,    0.59,    1.55,   -0.88,    0.35,    0.90,    0.77,    1.52,    1.43,    1.74,    0.21
196712,    2.64,    2.52,    2.20,    5.56,    9.48,    2.14,    3.95,    1.39,    3.89,    2.47,    1.89,    4.77,    6.75,    6.69,   12.49
196801,   -2.20,   -5.25,   -4.85,   -5.54,   -4.03,   -1.87,   -3.14,   -5.27,   -5.22,   -2.99,   -6.52,   -5.20,   -5.97,   -6.23,   -2.29
196802,   -1.86,   -3.80,   -3.65,   -5.55,   -9.24,   -1.68,   -2.29,   -2.83,   -5.11,   -3.66,   -3.62,   -6.19,   -4.52,   -8.07,  -10.14
196803,    0.64,   -0.09,    0.92,    2.27,   -0.48,    1.13,   -0.46,   -0.78,    0.81,    1.47,    0.18,    1.99,    2.64,    1.98,   -2.45
196804,    7.35,    9.71,   10.35,   13.07,   17.09,    6.83,    8.98,    9.79,    9.61,   10.05,   10.72,   12.79,   13.38,   17.23,   16.98
196805,    1.07,    2.52,    3.88,    5.19,    8.55,    0.88,    1.62,    2.54,    2.50,    4.22,    3.57,    5.02,    5.43,    7.83,    9.20
196806,    1.79,    1.18,    0.96,   -0.04,   -1.65,    1.39,    2.73,    0.88,    1.62,    0.76,    1.24,   -0.22,    0.26,   -1.13,   -2.10
196807,   -0.92,   -2.52,   -3.09,   -6.19,   -4.89,   -0.63,   -1.49,   -2.97,   -1.98,   -2.89,   -3.25,   -6.58,   -5.76,   -6.04,   -4.00
196808,    1.23,    1.97,    3.17,    1.88,    2.97,    0.97,    1.70,    1.68,    2.38,    3.93,    2.35,    1.94,    1.82,    2.55,    3.21
196809,    2.86,    4.65,    4.98,    7.56,    9.64,    3.31,    2.30,    4.87,    4.33,    5.13,    4.81,    7.71,    7.40,    8.22,   10.67
196810,    1.12,    1.53,    1.92,   -0.18,   -2.28,    1.18,    1.00,    0.93,    2.25,    2.96,    0.78,   -0.19,   -0.17,   -1.96,   -2.51
196811,    4.43,    6.09,    7.32,    8.14,    8.68,    4.36,    4.57,    6.29,    5.78,    7.09,    7.59,    8.07,    8.22,    8.85,    8.57
196812,   -4.53,   -2.87,   -2.91,   -2.22,   -0.94,   -4.65,   -4.27,   -2.61,   -3.22,   -2.69,   -3.24,   -2.49,   -1.97,   -2.64,    0.43
196901,   -0.72,    0.18,   -0.70,   -1.66,   -1.94,   -0.95,   -0.01,    0.36,   -0.03,    0.36,   -1.69,   -1.02,   -2.33,   -3.26,   -0.80
196902,   -3.05,   -5.79,   -7.13,   -8.19,  -11.20,   -2.40,   -4.92,   -5.67,   -5.96,   -6.26,   -8.13,   -6.87,   -9.56,  -10.58,  -11.78
196903,    3.44,    3.34,    3.16,    2.12,    2.17,    3.38,    3.58,    3.31,    3.39,    3.30,    2.98,    1.43,    2.89,    2.31,    2.04
196904,    2.49,    1.63,    1.06,    1.73,    1.70,    2.77,    1.90,    1.44,    1.86,    0.87,    1.28,    1.05,    2.53,    2.21,    1.20
196905,    0.67,    0.47,   -0.44,    0.28,    0.09,    0.51,    1.03,    0.80,    0.13,   -0.74,   -0.11,    1.62,   -2.15,    0.01,    0.17
196906,   -3.80,   -7.33,   -8.00,  -10.57,  -14.48,   -3.39,   -4.70,   -6.91,   -7.78,   -6.55,   -9.93,   -9.98,  -11.44,  -12.74,  -15.91
196907,   -4.98,   -6.78,   -6.94,   -8.54,  -11.48,   -5.30,   -4.01,   -6.14,   -7.34,   -6.50,   -7.57,   -7.61,   -9.97,  -11.12,  -11.78
196908,    3.87,    4.92,    7.14,    7.37,    7.94,    3.69,    4.36,    5.17,    4.69,    7.25,    6.98,    6.52,    8.32,    7.75,    8.11
196909,   -2.52,   -1.01,   -3.57,   -2.92,   -2.35,   -2.61,   -2.16,   -1.35,   -0.43,   -3.36,   -3.78,   -4.64,   -0.08,   -0.88,   -3.68
196910,    4.94,    5.25,    5.55,    8.79,    7.65,    4.02,    7.16,    6.39,    4.23,    4.22,    7.73,    9.49,    8.05,    7.88,    7.43
196911,   -2.69,   -3.28,   -3.46,   -4.18,   -5.94,   -2.66,   -2.78,   -3.56,   -2.93,   -2.62,   -4.47,   -3.57,   -4.70,   -4.67,   -7.09
196912,   -0.70,   -2.50,   -2.40,   -3.47,   -6.51,   -0.79,   -0.46,   -2.96,   -1.90,   -2.86,   -1.67,   -3.51,   -3.42,   -4.21,   -8.46
197001,   -6.26,   -7.68,   -9.07,  -10.42,   -9.67,   -6.24,   -6.28,   -6.85,   -8.73,   -8.12,   -9.90,  -10.26,  -10.62,  -10.21,   -9.22
197002,    5.38,    6.39,    7.07,    6.96,    2.69,    5.42,    5.29,    7.09,    5.62,    7.50,    6.65,    7.08,    6.77,    4.26,    1.25
197003,    0.32,    0.55,   -0.72,   -2.58,   -5.08,    1.33,   -2.37,    1.41,   -0.87,    0.35,   -2.16,   -1.97,   -3.32,   -4.50,   -5.64
197004,   -8.17,   -9.27,  -12.76,  -14.23,  -19.85,   -8.30,   -7.84,   -8.56,  -10.07,  -11.72,  -14.17,  -13.10,  -15.89,  -17.44,  -21.89
197005,   -5.52,   -5.53,   -6.85,   -8.69,  -11.95,   -5.73,   -5.01,   -5.55,   -5.51,   -7.27,   -6.40,   -7.45,  -10.06,  -10.90,  -13.04
197006,   -4.21,   -4.54,   -5.53,   -9.08,  -11.98,   -4.52,   -3.43,   -3.07,   -6.26,   -3.98,   -7.04,   -8.09,   -9.93,  -12.23,  -11.81
197007,    7.24,    7.34,    9.34,    7.51,    6.25,    7.51,    6.44,    5.80,    8.96,   10.48,    8.03,    7.53,    7.47,    8.86,    3.62
197008,    4.38,    4.11,    6.32,    8.10,    9.47,    4.56,    3.85,    3.72,    4.62,    5.50,    7.54,    6.32,   10.19,   10.65,    8.31
197009,    2.38,    4.29,    7.11,   10.01,   17.81,    1.82,    3.81,    3.53,    5.34,    6.22,    8.27,    9.39,   10.81,   15.56,   20.37
197010,   -0.39,   -0.86,   -3.37,   -6.36,  -10.04,   -0.61,    0.14,    0.21,   -1.83,   -2.94,   -3.91,   -4.65,   -8.60,   -8.71,  -11.51
197011,    6.02,    4.49,    4.85,    4.03,   -1.03,    6.38,    4.89,    4.40,    4.62,    4.63,    5.11,    3.63,    4.55,    0.36,   -2.32
197012,    5.36,    7.21,    6.92,    8.78,    6.29,    5.48,    5.02,    6.64,    7.83,    6.86,    7.00,    7.75,   10.41,    8.93,    3.62
197101,    3.41,    5.86,    7.03,   11.16,   13.48,    2.92,    5.03,    5.90,    5.83,    5.84,    8.32,    9.72,   13.03,   11.92,   15.19
197102,    1.10,    1.95,    2.72,    3.14,    4.18,    1.02,    1.36,    2.18,    1.66,    1.73,    4.12,    2.97,    3.36,    3.49,    4.85
197103,    4.15,    3.62,    5.69,    5.57,    6.00,    4.21,    4.01,    3.37,    4.00,    5.43,    6.05,    4.64,    7.09,    6.17,    5.82
197104,    3.12,    2.89,    4.57,    5.87,    2.64,    2.59,    4.71,    1.94,    4.07,    4.66,    4.47,    5.72,    6.07,    2.03,    3.25
197105,   -3.97,   -2.85,   -2.59,   -4.53,   -5.56,   -4.21,   -3.12,   -3.09,   -2.52,   -2.94,   -2.02,   -4.05,   -5.26,   -4.93,   -6.19
197106,    0.79,    0.97,   -0.06,   -0.73,   -4.06,    0.41,    1.72,    0.47,    1.83,    0.70,   -1.08,    0.04,   -1.73,   -4.08,   -4.03
197107,   -3.31,   -3.59,   -4.24,   -6.41,   -8.99,   -3.32,   -3.27,   -3.18,   -4.14,   -4.10,   -4.43,   -6.35,   -6.51,   -8.25,   -9.77
197108,    3.88,    3.62,    4.66,    6.76,    5.98,    3.97,    3.71,    3.92,    3.21,    3.45,    5.87,    7.06,    6.33,    8.08,    4.19
197109,    0.26,   -1.47,   -0.65,   -1.08,   -0.94,    0.69,   -0.88,   -1.88,   -0.94,   -0.43,   -1.03,   -0.98,   -1.24,    0.73,   -2.44
197110,   -2.56,   -3.92,   -5.72,   -6.99,   -8.16,   -1.61,   -4.75,   -3.93,   -3.91,   -5.74,   -5.67,   -6.86,   -7.15,   -6.85,   -9.46
197111,    0.78,   -0.11,   -0.79,   -1.47,   -4.13,    0.97,    0.26,   -0.08,   -0.15,    0.05,   -2.42,   -0.59,   -2.71,   -4.32,   -3.96
197112,    8.29,    8.65,    9.29,   12.24,   13.57,    7.95,    9.34,    8.69,    8.60,    9.08,    9.58,   11.06,   13.95,   13.57,   13.58
197201,    1.88,    1.13,    4.41,    5.25,   10.14,    2.39,    0.88,    0.47,    2.16,    2.83,    6.41,    3.66,    7.30,    8.11,   12.38
197202,    2.57,    3.21,    4.11,    4.40,    4.18,    1.51,    4.62,    2.42,    4.39,    5.15,    3.06,    4.61,    4.12,    4.39,    3.94
197203,    1.62,    0.41,   -0.08,   -0.02,   -0.87,    1.86,    1.04,   -0.02,    0.92,   -0.79,    0.85,   -0.03,    0.00,   -0.70,   -1.07
197204,    0.06,    1.75,    0.72,    1.52,   -0.77,   -0.33,    0.96,    2.30,    0.78,    1.03,    0.17,   -0.03,    2.86,    0.42,   -1.88
197205,    2.29,    1.73,    0.54,    0.51,   -0.96,    2.44,    1.96,    2.62,    0.45,    0.74,    0.10,    0.82,    0.19,    0.93,   -2.75
197206,   -1.41,   -1.86,   -3.46,   -4.87,   -3.22,   -1.12,   -2.14,   -1.34,   -2.39,   -3.64,   -3.24,   -5.13,   -4.58,   -3.71,   -2.73
197207,    1.24,   -0.60,   -2.46,   -4.87,   -5.81,    1.34,    0.99,   -1.13,    0.05,   -2.34,   -2.61,   -4.84,   -4.92,   -3.75,   -7.91
197208,    3.72,    4.53,    3.39,    3.30,   -0.12,    3.37,    4.62,    4.57,    4.48,    3.32,    3.48,    3.87,    2.57,    1.20,   -1.41
197209,    0.26,   -0.83,   -1.11,   -3.04,   -5.15,    0.00,    0.71,   -0.10,   -1.62,   -1.12,   -1.11,   -3.06,   -3.02,   -4.44,   -5.94
197210,    1.29,    1.37,    0.84,    0.28,   -3.13,   -0.05,    3.63,    1.44,    1.26,    1.37,    0.04,    1.60,   -1.37,   -1.23,   -4.92
197211,    4.02,    6.02,    6.52,    5.80,    5.61,    4.25,    3.51,    6.18,    5.86,    5.91,    7.78,    5.11,    6.58,    6.99,    4.34
197212,    2.02,    0.96,   -0.20,   -2.19,   -2.07,    2.45,    1.10,    1.46,    0.24,   -0.27,   -0.09,   -1.61,   -2.71,   -0.57,   -3.61
197301,   -0.33,   -3.98,   -6.13,   -7.37,   -9.48,    0.64,   -2.35,   -2.88,   -5.66,   -6.38,   -5.78,   -6.28,   -8.57,   -8.35,  -10.70
