This file was created using the 202605 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on NI.

The portfolios are constructed at the end of June. NI (net stock issues), the change in the natural
log of the split-adjusted shares outstanding from the fiscal year-end in t-2 to t-1.

Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Value Weighted Returns -- Monthly
,< 0 ,ZERO,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
196602,   -1.15,   -2.31,   -1.92,   -2.02,    0.87,   -0.55,    0.23,   -1.70,   -2.18,   -2.85,   -0.13,   -1.96,    2.74,    0.66,   -2.11,   -0.26,    1.62
196603,   -1.81,   -0.04,   -2.43,   -2.85,   -0.40,   -1.93,   -3.83,   -2.90,   -1.85,   -3.31,   -1.81,   -0.87,   -0.11,   -2.71,   -0.90,   -3.98,   -3.42
196604,    2.87,    2.65,    1.98,    0.81,    5.23,    2.18,    2.22,    0.99,    3.16,    0.30,    1.93,    5.08,    5.32,    2.70,    1.50,    1.61,    3.88
196605,   -6.27,   -5.20,   -4.91,   -5.52,   -4.88,   -5.31,   -3.88,   -4.01,   -5.97,   -6.01,   -4.46,   -7.25,   -3.40,   -6.50,   -3.74,   -3.28,   -5.51
196606,    0.40,   -0.74,   -1.68,   -2.09,   -0.97,   -1.84,    0.50,   -1.33,   -2.09,   -2.61,   -1.00,    0.21,   -1.68,   -2.05,   -1.58,    0.63,    0.14
196607,   -0.32,   -1.17,   -0.17,   -2.34,   -2.02,   -2.28,   -1.20,   -0.90,    0.57,   -3.40,   -0.66,   -2.27,   -1.45,   -1.46,   -3.76,   -1.61,   -0.79
196608,   -6.41,   -9.52,   -7.47,   -6.80,   -7.33,   -7.23,   -8.76,   -6.92,   -8.02,   -6.95,   -6.55,   -6.35,   -9.60,   -5.55,  -10.28,   -8.92,   -8.60
196609,    2.22,    1.68,   -1.93,    0.12,   -2.83,   -0.94,   -3.20,   -5.15,    1.31,   -0.36,    0.85,   -3.62,   -0.93,   -0.68,   -1.44,   -2.93,   -3.47
196610,    7.02,    6.70,    2.57,    4.17,    2.81,    6.21,    0.56,    4.69,    0.58,    4.19,    4.14,    2.53,    3.47,    8.42,    1.95,    0.64,    0.49
196611,   -0.61,    0.08,    0.58,    0.77,    6.59,    1.52,    6.92,    1.26,   -0.09,   -0.04,    2.02,    8.52,    2.13,   -1.42,    7.55,    6.94,    6.90
196612,   -1.09,    2.84,    0.53,   -1.75,    0.11,    1.58,    2.55,    1.10,   -0.04,   -3.05,    0.19,   -0.85,    2.47,    2.47,   -0.08,    3.42,    1.66
196701,    6.37,    6.93,    9.17,    7.51,    9.72,    7.94,   10.70,    8.40,    9.96,    7.27,    7.85,    9.14,   11.11,    6.97,    9.80,    9.92,   11.50
196702,   -0.16,   -0.72,    0.35,    0.54,    3.46,    1.67,    2.41,    1.02,   -0.31,   -0.44,    1.95,    4.31,    1.45,    1.86,    1.32,    2.11,    2.73
196703,    4.27,    2.97,    3.87,    2.68,    5.47,    5.76,    6.00,    3.57,    4.17,    2.93,    2.33,    6.13,    3.88,    4.65,    7.83,    5.89,    6.11
196704,    2.44,    2.46,    5.49,    5.62,    8.00,    2.02,    4.48,    2.93,    8.06,    6.57,    4.27,    8.19,    7.53,    1.02,    3.86,    4.87,    4.08
196705,   -2.95,   -2.97,   -5.40,   -4.76,   -4.64,   -4.84,   -3.23,   -5.03,   -5.75,   -6.45,   -2.31,   -4.64,   -4.63,   -5.60,   -3.49,   -4.34,   -2.09
196706,    2.50,    2.09,   -0.37,    1.87,    3.96,    3.54,    4.66,    0.81,   -1.51,    1.18,    2.82,    4.22,    3.30,    4.05,    2.66,    2.69,    6.61
196707,    8.45,    5.18,    6.57,    4.32,    4.38,    1.14,    4.83,    6.81,    6.07,    3.79,    5.58,    4.46,    4.33,   -1.04,    3.57,    4.39,    5.31
196708,   -0.79,   -0.46,   -0.67,   -0.39,   -0.69,   -0.99,   -0.94,   -0.47,   -1.06,   -0.30,   -0.60,   -0.66,   -0.71,   -1.31,   -0.64,    0.24,   -2.19
196709,    2.84,    1.04,    4.15,    2.75,    3.76,    4.96,    2.29,    3.61,    5.24,    3.16,    1.78,    2.15,    4.71,    3.14,    6.88,    1.55,    3.11
196710,   -3.99,   -4.54,   -3.17,   -2.37,   -3.05,    0.21,   -3.47,   -2.39,   -4.73,   -1.23,   -5.06,   -5.85,   -1.43,   -3.14,    3.63,   -4.60,   -2.27
196711,   -0.21,    1.13,   -0.62,    1.40,    0.92,    1.54,    1.24,   -0.70,   -0.46,    2.28,   -0.76,    0.28,    1.28,    0.27,    2.74,    1.23,    1.24
196712,    2.51,    3.35,    3.77,    3.32,    3.65,    2.05,    4.08,    3.45,    4.44,    3.22,    3.57,    5.02,    2.91,    1.63,    2.43,    2.81,    5.40
196801,   -2.76,   -0.97,   -3.64,   -4.24,   -6.67,   -3.58,   -6.08,   -2.95,   -5.04,   -4.63,   -3.27,   -5.00,   -7.60,   -2.12,   -4.93,   -5.34,   -6.84
196802,   -3.09,   -2.62,   -2.15,   -3.14,   -3.95,   -3.37,   -4.97,   -2.44,   -1.56,   -3.10,   -3.24,   -3.91,   -3.97,   -2.74,   -3.96,   -4.35,   -5.61
196803,   -0.31,   -1.69,    0.30,    1.38,    2.04,    1.58,    0.83,    0.36,    0.17,    1.48,    1.12,    1.01,    2.63,   -0.44,    3.50,    1.52,    0.12
196804,    9.95,    7.01,    7.57,    9.39,   12.43,    8.66,   10.56,    6.87,    9.01,    9.32,    9.56,   11.91,   12.72,    6.10,   11.00,    9.51,   11.67
196805,    1.41,    3.25,   -0.29,    3.81,    5.32,    2.04,    3.34,   -0.55,    0.22,    4.34,    2.48,    3.63,    6.23,   -0.57,    4.31,    3.44,    3.23
196806,    1.58,    3.94,    1.16,   -0.22,   -0.57,    1.12,    0.85,    1.78,   -0.06,   -0.79,    1.23,   -0.40,   -0.66,    2.29,    0.14,    2.47,   -0.83
196807,    1.09,   -0.27,   -1.65,   -2.47,   -4.07,   -2.84,   -5.83,   -1.18,   -2.37,   -1.07,   -3.93,   -3.49,   -4.47,   -1.91,   -4.10,   -4.58,   -6.99
196808,    2.28,    1.64,    1.97,    1.17,    2.06,    1.51,    1.42,    1.41,    2.85,    1.69,    0.60,    1.71,    2.29,    1.45,    1.59,    1.01,    1.80
196809,    3.85,    3.65,    5.10,    3.56,    4.01,    5.26,    4.89,    5.02,    5.22,    4.49,    2.55,    4.75,    3.49,    5.28,    5.23,    5.51,    4.31
196810,    2.01,    2.62,    2.35,   -0.88,    0.50,   -1.15,    0.69,    3.73,    0.22,    0.66,   -2.58,    0.57,    0.45,   -0.93,   -1.46,    0.39,    0.97
196811,    5.87,    6.02,    3.19,    6.17,    6.09,    8.62,    7.21,    2.37,    4.49,    5.64,    6.78,    7.06,    5.40,    9.26,    7.73,    6.27,    8.09
196812,   -4.04,   -2.29,   -3.80,   -5.13,   -3.10,   -1.66,   -3.20,   -3.70,   -3.95,   -5.11,   -5.15,   -1.66,   -4.14,   -2.57,   -0.36,   -2.96,   -3.42
196901,   -0.99,    0.81,    0.99,   -1.75,   -0.69,   -2.35,   -2.25,    0.11,    2.36,    0.12,   -3.87,   -0.47,   -0.85,   -2.77,   -1.78,   -1.49,   -2.96
196902,   -4.43,   -5.04,   -3.80,   -3.87,   -5.45,   -7.17,   -8.32,   -2.75,   -5.40,   -4.27,   -3.40,   -6.17,   -4.92,   -7.10,   -7.26,   -7.47,   -9.12
196903,    4.69,    1.79,    4.41,    3.37,    3.25,    2.03,    2.26,    3.93,    5.14,    1.28,    5.80,    2.67,    3.66,    0.72,    3.84,    1.78,    2.73
196904,    2.79,    0.98,    1.48,    3.75,    1.10,    2.32,    0.70,    0.94,    2.32,    4.34,    3.09,    2.10,    0.39,    2.94,    1.49,    0.95,    0.46
196905,    0.92,    0.38,   -0.12,    0.50,   -0.18,    0.69,   -0.19,    0.80,   -1.52,    1.17,   -0.25,    0.34,   -0.57,    1.54,   -0.45,    1.50,   -1.80
196906,   -6.61,   -7.12,   -6.54,   -3.49,   -6.70,   -8.66,   -8.25,   -6.84,   -6.09,   -5.50,   -1.20,   -7.41,   -6.18,   -8.18,   -9.32,   -6.25,  -10.28
196907,   -6.53,   -5.93,   -5.57,   -5.22,   -6.16,   -8.41,   -9.00,   -5.57,   -5.57,   -4.70,   -5.47,   -8.10,   -5.08,   -8.02,   -8.80,   -8.78,   -9.27
196908,    4.69,    2.12,    3.86,    6.31,    4.54,    6.37,    9.16,    3.35,    4.76,    4.54,    7.15,    6.06,    3.72,    5.69,    7.04,    8.72,    9.71
196909,   -3.45,   -1.78,   -2.38,   -0.77,   -2.09,   -4.18,   -3.77,   -2.69,   -1.85,    0.16,   -1.20,   -1.75,   -2.27,   -2.17,   -6.14,   -2.55,   -5.23
196910,    4.71,    6.07,    4.19,    6.11,    5.88,    6.67,    7.28,    4.20,    4.17,    7.56,    5.45,    7.58,    4.93,    7.54,    5.78,    5.14,    9.91
196911,   -3.55,   -4.91,   -4.11,   -1.69,   -1.81,   -4.22,   -3.96,   -4.55,   -3.35,   -2.71,   -1.21,   -4.01,   -0.56,   -5.52,   -2.87,   -3.15,   -4.90
196912,   -1.78,   -2.15,   -1.09,    0.75,   -3.80,   -3.49,   -3.83,   -0.44,   -2.19,    1.05,    0.61,   -2.26,   -4.65,   -2.59,   -4.38,   -2.43,   -5.50
197001,   -6.53,   -5.37,   -8.17,   -7.41,   -5.39,   -8.29,  -12.54,   -8.17,   -8.17,   -7.21,   -7.51,   -8.03,   -3.90,   -6.70,   -9.92,  -12.64,  -12.43
197002,    4.21,    7.89,    6.28,    5.17,    5.91,    7.81,    4.44,    7.23,    4.63,    5.75,    4.90,    6.20,    5.75,    7.57,    8.06,    5.31,    3.38
197003,    2.54,    0.87,    1.14,   -1.91,   -0.13,   -1.25,   -4.80,    1.66,    0.24,   -1.77,   -1.97,   -1.24,    0.47,   -1.12,   -1.40,   -4.25,   -5.48
197004,   -8.69,   -9.07,   -7.33,  -10.31,  -10.33,  -13.02,  -17.74,   -7.65,   -6.77,   -9.32,  -10.77,  -11.15,   -9.90,  -13.14,  -12.90,  -15.83,  -20.16
197005,   -1.67,   -5.28,   -5.62,   -6.45,   -6.30,   -7.77,  -12.02,   -5.62,   -5.63,   -7.59,   -5.90,   -8.12,   -5.35,   -9.70,   -5.73,  -12.28,  -11.67
197006,   -2.93,   -4.20,   -3.93,   -5.05,   -7.02,   -5.15,   -9.81,   -3.01,   -5.54,   -1.50,   -6.72,   -3.99,   -8.57,   -5.79,   -4.50,   -9.13,  -10.73
197007,   10.15,    7.19,    7.07,    5.04,    7.66,    7.14,    7.51,    7.20,    6.73,    9.48,    2.26,    7.83,    7.46,    5.11,    9.50,    6.99,    8.38
197008,    5.72,    3.54,    3.82,    5.20,    5.03,    6.52,    5.36,    3.39,    5.01,    4.81,    5.47,    4.38,    5.85,    7.11,    5.86,    5.76,    4.69
197009,    2.23,    4.77,    1.40,    6.83,    5.46,    6.66,    8.59,    0.86,    2.83,    5.32,    7.84,    5.00,    6.04,    7.04,    6.22,    7.18,   10.97
197010,   -0.38,   -2.93,   -0.73,   -1.09,   -3.46,   -3.36,   -3.07,   -0.96,   -0.12,   -2.76,    0.00,   -2.09,   -5.15,   -3.14,   -3.61,   -2.59,   -3.87
197011,    5.50,    6.50,    5.10,    5.37,    4.94,    5.02,    3.60,    5.08,    5.17,    7.46,    4.05,    4.86,    5.04,    4.52,    5.58,    4.37,    2.33
197012,    5.70,    5.76,    7.03,    5.46,    7.23,    6.11,    5.85,    7.76,    5.18,    5.66,    5.33,    6.60,    8.05,    4.78,    7.61,    5.14,    7.04
197101,    2.71,    6.37,    4.15,    3.94,    7.15,    6.24,    9.09,    4.40,    3.51,    5.54,    2.90,    7.77,    6.36,    6.73,    5.70,    9.01,    9.23
197102,    2.77,    2.07,   -0.34,    2.78,    2.78,    1.22,    0.86,   -1.10,    1.64,    1.82,    3.43,    2.56,    3.05,    1.24,    1.20,    0.72,    1.08
197103,    3.38,    4.31,    3.27,    5.38,    4.25,    5.38,    5.60,    2.39,    5.54,    3.80,    6.42,    5.08,    3.21,    5.70,    5.01,    5.95,    5.01
197104,    4.46,    0.91,    3.35,    2.36,    5.14,    3.50,    3.49,    3.10,    3.98,    3.91,    1.37,    5.67,    4.47,    4.22,    2.70,    2.97,    4.36
197105,   -3.72,   -3.43,   -3.53,   -5.14,   -2.63,   -2.86,   -4.15,   -4.05,   -2.26,   -3.31,   -6.34,   -1.66,   -3.89,   -1.82,   -4.05,   -3.38,   -5.42
197106,    0.09,   -0.44,    0.56,   -0.49,    0.31,    1.15,    0.88,    0.27,    1.25,    0.38,   -1.07,    1.31,   -1.02,    1.37,    0.89,    1.37,    0.07
197107,   -3.25,   -4.56,   -3.80,   -5.38,   -3.84,   -2.90,   -4.93,   -4.73,   -2.42,   -6.25,   -5.17,   -3.51,   -4.12,   -1.84,   -4.95,   -3.81,   -6.05
197108,    3.82,    4.70,    4.37,    5.73,    5.05,    2.63,    2.56,    2.93,    6.44,    5.69,    5.74,    5.15,    4.95,    1.44,    5.00,    0.19,    4.98
197109,   -0.82,   -2.01,   -0.08,   -0.61,    0.18,   -0.22,   -0.35,    0.27,   -0.58,   -1.73,   -0.35,    0.06,    0.29,    0.18,   -0.99,   -0.13,   -0.56
