This file was created using the 202605 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on NI.

The portfolios are constructed at the end of June. NI (net stock issues), the change in the natural
log of the split-adjusted shares outstanding from the fiscal year-end in t-2 to t-1.

Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Value Weighted Returns -- Monthly
,< 0 ,ZERO,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
199611,    7.58,    5.13,    6.21,    6.47,    7.32,    7.03,    5.84,    7.24,    4.46,    5.56,    7.48,    6.60,    8.16,    5.90,    8.15,    6.55,    5.23
199612,   -1.78,    2.50,   -1.68,   -0.50,    1.01,   -2.66,   -1.70,   -2.76,    0.18,   -0.33,   -0.69,    0.72,    1.34,   -2.40,   -2.91,   -1.04,   -2.27
199701,    6.92,    4.76,    3.81,    4.77,    4.48,    5.98,    4.12,    4.69,    2.32,    3.16,    6.52,    5.86,    2.89,    5.56,    6.39,    4.88,    3.45
199702,    1.25,   -1.35,    1.23,   -0.10,   -0.01,   -1.94,   -1.15,    0.92,    1.77,    1.12,   -1.37,   -0.44,    0.50,   -1.20,   -2.66,   -0.85,   -1.40
199703,   -4.59,    0.97,   -2.46,   -3.29,   -4.69,   -6.40,   -6.61,   -1.90,   -3.45,   -4.66,   -1.80,   -3.41,   -6.20,   -5.38,   -7.39,   -6.77,   -6.48
199704,    6.33,    2.08,    2.60,    5.10,    6.62,    4.04,    0.75,    3.20,    1.54,    5.86,    4.31,    9.54,    3.06,    3.98,    4.10,    2.84,   -1.07
199705,    5.74,    5.61,    5.67,    6.55,    6.90,   10.71,    8.84,    4.82,    7.22,    6.85,    6.23,    5.14,    9.11,    9.63,   11.78,    8.18,    9.44
199706,    5.37,    4.36,    3.37,    5.60,    3.10,    2.85,    3.11,    3.31,    3.47,    4.14,    7.14,    3.24,    2.93,    2.58,    3.11,    2.12,    4.00
199707,    6.91,   12.00,    6.50,    8.86,    7.50,    8.49,    8.41,    5.73,    6.93,    8.57,    9.11,    7.97,    6.91,    8.48,    8.49,    9.76,    7.02
199708,   -5.79,   -1.71,   -3.00,   -2.48,   -2.07,   -2.68,   -2.18,   -1.51,   -3.80,   -0.95,   -3.76,   -3.69,   -0.02,   -3.54,   -1.62,   -3.93,   -0.32
199709,    5.90,    3.83,    6.00,    5.73,    4.57,    5.42,    7.67,    7.03,    5.42,    5.93,    5.55,    3.28,    6.22,    5.30,    5.56,    6.61,    8.75
199710,   -3.60,   -7.28,   -3.26,   -3.75,   -1.07,   -4.00,   -2.91,   -2.65,   -3.61,   -5.23,   -2.47,   -0.33,   -1.98,   -2.91,   -5.34,   -2.42,   -3.41
199711,    6.11,    1.27,    1.90,    2.27,    3.51,    0.97,    0.78,    1.67,    2.03,    1.64,    2.80,    3.79,    3.16,    2.08,   -0.42,    2.12,   -0.57
199712,    2.86,   -2.05,    0.69,    1.20,    1.26,    2.53,    1.73,    0.31,    0.90,    1.85,    0.66,   -0.43,    3.42,    2.08,    3.10,    2.05,    1.39
199801,   -0.11,    3.19,    1.23,   -0.84,    3.53,   -1.00,    0.47,    0.96,    1.37,   -0.62,   -1.01,    4.31,    2.57,   -0.25,   -1.96,    2.85,   -1.94
199802,    6.21,    8.87,    5.03,    8.50,    8.46,    9.51,    8.36,    4.52,    5.31,    9.51,    7.65,    9.49,    7.18,    9.47,    9.55,    8.76,    7.92
199803,    5.61,   -0.57,    3.75,    5.55,    5.06,    6.28,    4.63,    6.48,    2.23,    4.63,    6.33,    6.85,    2.79,    7.31,    4.93,    2.98,    6.40
199804,    0.18,    4.09,    1.58,   -0.69,    1.67,    1.68,    3.35,    1.01,    1.90,    0.38,   -1.59,    3.58,   -0.87,    2.85,    0.11,    4.09,    2.57
199805,   -1.25,   -5.21,   -1.89,   -3.08,   -1.81,   -4.01,   -4.12,   -2.17,   -1.73,   -2.64,   -3.46,   -3.23,    0.17,   -3.75,   -4.36,   -3.45,   -4.85
199806,    3.95,    2.19,    2.52,    0.71,    5.97,    3.54,    2.92,    2.67,    2.44,    0.24,    1.12,    8.59,    2.45,    4.39,    2.37,    3.01,    2.82
199807,   -1.10,   -6.51,   -2.71,   -1.48,   -1.96,   -2.70,   -3.84,   -3.29,   -2.31,   -4.14,    0.20,   -2.71,   -1.48,   -3.77,   -1.80,   -2.48,   -5.12
199808,  -13.98,  -12.09,  -12.50,  -14.36,  -16.63,  -18.69,  -21.29,  -12.01,  -12.84,  -12.92,  -15.23,  -17.18,  -16.29,  -17.38,  -19.76,  -23.76,  -18.91
199809,    5.10,    1.42,    9.09,    7.69,    8.66,    8.99,    5.29,    7.97,    9.87,    8.75,    7.04,    8.39,    8.83,   10.05,    8.08,    2.95,    7.40
199810,    8.78,    5.38,    4.75,    6.11,    6.37,    6.57,    7.66,    6.76,    3.37,    6.30,    5.99,    6.36,    6.38,    6.66,    6.49,    8.11,    7.27
199811,    6.37,    5.16,    3.64,    7.06,    6.31,    8.97,    6.03,    4.70,    2.90,    5.54,    8.02,    5.59,    6.74,    9.44,    8.60,    5.58,    6.43
199812,    4.56,    1.25,    6.36,    8.68,    8.86,   12.20,    4.09,    9.69,    3.99,    3.36,   11.92,    9.28,    8.62,   10.33,   13.73,    4.50,    3.73
199901,    1.75,   -1.53,    0.75,    7.72,    4.80,    6.05,    5.01,    2.23,   -0.36,    3.76,    9.95,    4.85,    4.77,    9.05,    3.67,    3.82,    6.06
199902,   -2.64,   -5.98,   -1.36,   -5.81,   -4.30,   -6.47,   -4.22,   -2.27,   -0.66,   -0.98,   -8.37,   -2.79,   -5.17,   -8.49,   -4.77,   -2.84,   -5.38
199903,    2.46,   -0.19,    0.63,    5.98,    5.84,    8.99,    1.39,   -2.37,    2.90,    0.36,    9.20,    5.41,    6.09,    7.90,    9.87,    3.33,   -0.30
199904,    5.34,    6.79,    1.69,    1.22,    4.99,    2.51,    9.33,    5.45,   -1.02,    4.74,   -0.64,    5.15,    4.89,    3.64,    1.60,    8.52,   10.05
199905,   -2.34,    1.75,   -0.69,   -1.17,    1.10,   -2.77,   -3.31,    2.40,   -3.00,   -0.33,   -1.64,   -1.95,    2.90,   -0.44,   -4.68,   -2.61,   -3.93
199906,    4.71,    2.50,    2.85,    7.21,    5.27,    5.90,    5.38,   -0.18,    5.23,    4.14,    8.93,    4.12,    5.91,    9.18,    3.10,    3.94,    6.68
199907,   -1.72,   -4.62,   -2.65,   -5.55,   -0.54,   -4.69,   -7.08,   -2.20,   -3.04,   -7.05,   -3.95,    3.17,   -3.00,   -3.09,   -5.89,   -3.74,   -8.30
199908,   -0.44,    5.40,   -0.91,   -2.38,    2.25,   -2.20,   -4.98,   -2.73,    0.69,    1.31,   -6.19,    3.34,    1.48,    0.63,   -4.41,   -3.00,   -5.73
199909,   -5.05,   -3.71,   -0.14,   -2.96,   -1.21,    1.23,   -3.31,   -0.13,   -0.15,   -4.76,   -0.94,   -0.34,   -1.84,   -0.14,    2.35,   -2.25,   -3.72
199910,    5.04,    6.83,    7.49,    6.79,    3.43,    7.09,   11.45,    9.33,    5.90,    6.88,    6.69,    5.71,    1.77,    6.57,    7.50,    8.02,   12.77
199911,    2.37,   -4.75,   -0.73,    1.82,    3.93,   11.24,    1.15,   -0.22,   -1.13,    2.31,    1.29,    5.35,    2.86,   13.22,    9.70,    3.89,    0.15
199912,    4.72,   -3.94,    5.10,    2.41,   14.11,   12.97,    5.10,    0.30,    8.96,    3.05,    1.71,   13.62,   14.49,   17.78,    9.07,   11.38,    2.74
200001,   -4.98,    7.03,   -5.00,   -1.21,   -5.24,   -5.16,   -2.20,   -1.96,   -7.22,   -1.59,   -0.79,    2.06,  -10.76,   -2.97,   -7.08,   -1.71,   -2.39
200002,   -4.04,   -6.28,   -1.23,    0.35,    5.09,   10.90,    5.74,   -7.07,    3.25,    0.19,    0.52,   11.53,   -0.46,   16.14,    6.05,    8.35,    4.67
200003,    6.85,    9.24,   12.07,    9.54,    9.73,    6.03,    2.40,   13.88,   10.81,    5.12,   14.33,    7.82,   11.56,    5.86,    6.20,   -1.24,    3.94
200004,    0.28,    7.39,    0.57,   -2.88,   -8.74,  -10.34,   -8.23,   -0.87,    1.59,   -0.33,   -5.43,   -3.06,  -13.98,  -10.91,   -9.77,   -9.40,   -7.75
200005,    0.99,    4.09,   -0.99,   -1.99,   -6.93,  -10.09,   -2.95,   -2.19,   -0.17,   -1.68,   -2.30,   -7.60,   -6.23,  -11.58,   -8.60,   -3.86,   -2.59
200006,    1.93,    4.85,   -0.76,    2.22,    9.88,    6.35,    2.54,   -0.08,   -1.21,   -1.57,    6.22,    9.94,    9.82,    7.62,    5.12,    7.55,    0.59
200007,   -0.60,   -4.07,    3.83,   -0.56,   -2.96,   -3.53,   -3.87,    2.24,    4.53,   -1.10,    0.89,   -0.45,   -4.42,   -3.07,   -4.46,   -3.82,   -3.92
200008,    5.14,    0.34,    1.26,    9.21,   10.50,   10.80,    7.38,    7.95,   -1.63,   11.09,    3.88,    8.06,   11.97,    7.35,   18.00,    6.68,    8.04
200009,   -0.67,    1.66,    2.77,  -10.82,   -4.64,   -8.45,   -5.07,    4.28,    2.05,  -15.85,    4.60,   -0.38,   -7.03,  -10.43,   -4.69,   -7.56,   -2.71
200010,    1.57,   -1.00,    2.74,   -0.75,   -3.69,   -4.69,   -6.50,   -0.29,    4.22,   -0.64,   -1.02,   -2.16,   -4.62,   -1.99,   -9.55,   -7.08,   -5.98
200011,   -3.02,   -5.33,   -1.42,   -8.43,   -9.06,  -17.59,  -16.16,   -6.11,    0.78,   -9.75,   -5.15,   -2.34,  -13.23,  -14.94,  -22.79,  -15.27,  -16.96
200012,    5.22,    2.87,    5.67,   -1.72,    3.91,   -4.01,   -0.25,    7.08,    5.09,   -5.13,    6.39,    4.64,    3.40,   -7.50,    3.52,    1.07,   -1.43
200101,    0.80,   -2.44,   -1.39,    5.12,    2.67,    7.70,    6.68,    1.42,   -2.41,    5.21,    4.95,    2.32,    2.91,    8.41,    6.32,   10.24,    3.41
200102,   -4.26,   -7.22,   -3.09,   -4.48,   -7.30,  -18.59,  -14.95,   -3.99,   -2.75,   -5.57,   -2.23,   -4.71,   -9.04,  -17.93,  -20.03,  -15.91,  -14.00
200103,   -4.10,   -6.98,   -5.54,   -5.88,   -5.88,  -11.50,   -9.46,   -0.97,   -7.24,   -7.58,   -2.48,   -4.61,   -6.77,  -12.00,  -10.38,   -8.81,  -10.09
200104,    5.05,    7.27,    5.32,    9.92,    6.52,   13.68,   10.19,    6.41,    4.89,   12.14,    5.70,    6.35,    6.64,   13.87,   13.26,    9.80,   10.57
200105,    1.67,    4.99,    3.03,    0.72,    1.20,    0.15,   -0.53,    2.08,    3.42,   -0.55,    3.26,    2.17,    0.52,    0.59,   -0.84,   -1.51,    0.41
200106,   -1.26,   -6.47,   -2.34,   -2.33,   -0.25,   -1.92,   -0.82,   -1.74,   -2.58,   -1.49,   -3.98,   -1.68,    0.78,   -1.90,   -1.98,    1.97,   -3.52
200107,    0.71,   -4.31,    4.27,   -3.06,   -0.94,   -5.31,   -4.65,    2.95,    5.00,   -2.25,   -3.55,    1.86,   -2.77,   -4.82,   -5.73,   -3.69,   -5.35
200108,   -3.92,    1.27,   -6.00,   -3.76,   -4.21,  -10.30,   -9.09,   -2.99,   -7.65,   -2.55,   -4.52,   -8.35,   -1.36,  -11.03,   -9.68,   -8.87,   -9.26
200109,   -5.63,   -6.09,   -3.58,   -8.13,  -11.21,  -16.02,  -11.62,   -1.98,   -4.50,   -4.27,  -10.58,  -11.28,  -11.16,  -14.59,  -17.23,  -16.82,   -7.80
200110,   -0.06,    2.91,    1.90,    0.79,    5.70,    9.07,    4.30,    1.93,    1.89,   -0.95,    2.01,    7.67,    4.33,    9.43,    8.76,    6.62,    2.76
200111,    5.27,    1.64,    5.54,    8.52,    9.56,   13.35,    7.84,    4.17,    6.35,    5.68,   10.45,   10.96,    8.56,   14.44,   12.40,   11.00,    5.68
200112,    1.84,    3.72,    4.35,    2.16,    1.28,    1.11,    0.21,    2.77,    5.26,    1.97,    2.28,    1.78,    0.91,    3.53,   -1.05,    1.19,   -0.49
200201,    0.68,    1.20,    0.56,   -1.34,   -2.83,   -0.77,   -4.84,   -1.08,    1.48,   -2.14,   -0.82,   -2.41,   -3.15,   -1.67,    0.06,   -5.36,   -4.46
200202,    1.08,    3.01,    1.62,   -1.49,   -2.34,   -8.19,   -5.12,    3.36,    0.68,    0.58,   -2.79,   -3.49,   -1.50,   -6.52,   -9.74,   -8.00,   -3.00
200203,    2.64,    5.15,    4.19,    3.67,    6.60,    6.72,    5.97,    7.33,    2.44,    4.65,    3.02,    7.98,    5.60,    4.68,    8.67,    8.42,    4.27
200204,   -2.60,    3.20,   -3.73,   -5.78,   -3.54,   -8.54,   -8.49,   -1.76,   -4.88,   -3.21,   -7.50,   -0.87,   -5.50,   -7.27,   -9.72,   -9.68,   -7.64
200205,    0.63,    0.04,   -1.78,   -2.44,   -2.43,   -2.44,   -2.27,   -2.32,   -1.45,   -1.72,   -2.94,   -0.65,   -3.80,   -3.64,   -1.30,   -3.56,   -1.36
200206,   -5.80,   -3.69,   -5.19,   -7.73,   -7.88,   -8.22,   -9.00,   -9.95,   -2.35,   -2.12,  -11.67,   -5.13,  -10.07,   -5.95,  -10.33,  -10.36,   -8.06
200207,   -4.50,  -12.18,   -7.18,   -9.99,  -10.55,  -11.12,  -11.65,   -6.78,   -7.47,   -8.22,  -11.65,   -8.19,  -12.16,  -11.90,   -9.82,  -10.64,  -12.87
200208,   -0.24,    0.06,    0.83,    1.00,    1.51,    1.87,    1.12,   -0.08,    1.51,   -1.24,    3.24,    1.19,    1.74,    2.81,    0.34,    0.98,    1.29
200209,  -11.04,   -7.88,   -7.85,  -10.06,   -9.36,  -12.21,   -9.26,   -6.37,   -8.94,   -7.62,  -12.37,   -7.99,  -10.34,  -13.53,  -10.04,   -8.77,   -9.86
200210,    7.58,    4.24,    5.45,   10.00,   10.63,    8.83,    8.04,    0.97,    8.93,   12.94,    7.05,    8.56,   12.13,    9.59,    7.62,    8.32,    7.70
200211,    5.74,    7.53,    3.46,    5.00,    8.62,    8.67,    5.75,    4.29,    2.86,    5.39,    4.59,    4.60,   11.46,   10.57,    5.60,    6.87,    4.35
200212,   -5.15,   -0.84,   -4.74,   -4.60,   -7.71,   -6.97,   -6.83,   -4.68,   -4.78,   -4.90,   -4.27,   -5.01,   -9.49,   -7.18,   -6.60,   -8.04,   -5.29
200301,   -2.40,   -0.79,   -4.67,   -1.77,   -2.90,   -1.47,   -3.23,   -5.72,   -3.90,   -2.25,   -1.25,   -1.21,   -4.08,   -1.41,   -1.58,   -3.34,   -3.10
200302,   -1.78,   -1.22,   -2.10,   -2.59,   -0.03,   -1.44,   -3.30,   -3.12,   -1.37,   -3.95,   -1.12,    1.99,   -1.45,   -1.08,   -2.07,   -4.19,   -2.19
200303,    0.63,    1.92,    2.14,    1.79,    0.88,    1.73,    0.97,    0.75,    3.12,    1.36,    2.24,    0.81,    0.93,    1.72,    1.74,    1.83,   -0.07
200304,    7.79,    5.54,    7.52,    8.13,    6.86,   10.45,    9.59,    6.66,    8.10,    8.34,    7.90,    7.03,    6.74,   11.55,    8.57,   10.10,    8.95
200305,    5.08,    9.26,    3.97,    7.96,    5.01,    9.11,    7.90,    6.94,    1.79,    8.02,    7.89,    7.66,    3.06,    8.94,    9.41,    6.22,   10.01
200306,    1.68,    2.28,    1.04,    0.87,    2.19,    2.71,   -0.11,    0.49,    1.46,    0.49,    1.27,    1.45,    2.75,    2.69,    2.76,   -2.15,    2.37
200307,    2.61,    1.07,    2.24,    1.86,    2.33,    2.72,    2.00,    2.82,    1.80,    1.21,    2.94,    1.73,    3.37,    3.34,    1.95,    0.46,    3.02
200308,    1.36,    1.84,    1.35,    3.26,    5.59,    5.14,    2.10,    0.44,    2.04,    3.95,    2.14,    5.21,    6.21,    5.07,    5.24,    3.30,    1.32
200309,   -0.77,    2.18,    0.14,   -1.32,   -3.72,   -2.17,   -0.98,   -0.39,    0.53,   -0.88,   -2.07,   -4.43,   -2.53,   -2.68,   -1.53,   -1.08,   -0.91
200310,    5.20,    3.48,    5.73,    5.80,    8.10,   10.07,    6.11,    6.13,    5.43,    4.13,    8.61,    8.08,    8.13,   10.95,    8.99,    5.25,    6.67
200311,    1.21,    3.51,    0.83,    1.47,    2.72,    2.19,    0.82,    1.35,    0.45,    2.01,    0.61,    2.02,    3.85,    1.72,    2.79,    3.00,   -0.60
200312,    4.72,    4.25,    5.29,    4.21,    3.70,    2.50,    4.61,    4.97,    5.53,    5.38,    2.28,    3.23,    4.44,    1.60,    3.62,    4.29,    4.82
200401,    1.68,    4.91,    0.23,    3.07,    2.67,    3.19,    3.93,    0.76,   -0.16,    3.45,    2.42,    2.16,    3.47,    3.12,    3.28,    5.69,    2.76
200402,    1.56,    4.26,    1.68,    1.40,    0.99,    1.27,    1.21,    2.43,    1.11,    0.48,    2.96,    0.97,    1.04,    2.04,    0.37,    3.01,   -0.03
200403,   -1.80,    0.76,   -0.70,   -1.69,    0.03,    0.20,   -0.94,   -0.79,   -0.63,   -2.83,    0.19,   -0.34,    0.60,   -0.66,    1.24,    0.40,   -1.90
200404,   -1.30,   -1.58,   -0.15,   -0.98,   -3.38,   -3.22,   -3.30,   -0.07,   -0.21,    0.07,   -2.67,   -2.60,   -4.57,   -3.20,   -3.24,   -3.13,   -3.43
200405,    0.92,    1.59,    0.94,    1.18,    0.97,    3.08,    1.55,    1.10,    0.82,    0.73,    1.89,   -0.10,    2.62,    2.76,    3.45,    2.16,    1.10
200406,    1.04,    2.45,    3.96,    2.25,    3.20,    2.28,    1.82,    3.94,    3.98,    2.93,    1.18,    3.67,    2.50,    0.47,    4.39,    1.88,    1.76
200407,   -3.13,   -1.52,   -3.41,   -1.58,   -6.17,   -7.28,   -6.02,   -3.83,   -2.98,   -2.73,   -0.59,   -5.82,   -6.44,   -6.69,   -7.94,   -5.36,   -6.71
200408,    0.28,   -0.32,    1.52,   -0.69,   -0.78,    0.44,   -0.44,    0.98,    2.08,   -1.07,   -0.37,   -0.81,   -0.75,    0.30,    0.60,   -1.47,    0.66
200409,    0.05,    0.30,    0.99,    2.95,    3.71,    4.42,    2.60,    1.76,    0.20,    2.30,    3.50,    4.75,    2.93,    3.98,    4.93,    4.03,    1.10
200410,    1.49,    1.99,    0.61,    1.82,    2.48,    1.63,    1.35,    0.48,    0.75,    2.01,    1.67,    1.84,    2.98,    1.24,    2.07,    3.42,   -0.85
200411,    4.07,    7.86,    3.16,    4.69,    6.43,    7.10,    4.79,    3.28,    3.03,    4.95,    4.47,    7.04,    5.96,    5.91,    8.42,    5.80,    3.65
200412,    3.83,    2.57,    4.82,    2.33,    3.33,    3.87,    3.00,    3.86,    5.86,    1.93,    2.65,    2.00,    4.35,    4.12,    3.59,    3.86,    2.02
200501,   -1.67,    1.81,   -1.79,   -2.40,   -3.27,   -4.58,   -4.42,   -1.98,   -1.59,   -2.62,   -2.23,   -2.19,   -4.06,   -3.63,   -5.65,   -3.34,   -5.68
200502,    2.09,    0.57,    2.63,    1.32,    2.96,    2.15,    1.89,    3.71,    1.51,    0.74,    1.79,    3.04,    2.89,    1.98,    2.35,    1.82,    1.98
200503,   -2.09,    1.00,   -2.36,   -0.65,   -1.01,   -1.38,   -1.91,   -2.15,   -2.59,   -1.30,   -0.14,   -0.89,   -1.10,   -0.48,   -2.41,   -1.72,   -2.14
200504,   -2.40,   -2.21,   -2.09,   -1.47,   -3.98,   -2.99,   -2.05,   -3.03,   -1.07,   -1.09,   -1.78,   -4.29,   -3.74,   -1.42,   -4.82,   -2.10,   -1.98
200505,    3.60,    5.51,    2.42,    2.48,    4.27,    6.97,    4.99,    2.71,    2.10,    2.16,    2.74,    4.15,    4.36,    6.33,    7.75,    5.38,    4.54
200506,    0.35,    2.49,    0.36,   -0.17,    2.40,    0.40,    2.37,   -0.23,    0.99,   -0.39,    0.00,    3.88,    1.28,    0.33,    0.47,    2.29,    2.47
200507,    3.81,    4.30,    3.03,    3.74,    6.64,    5.20,    3.98,    2.22,    4.56,    3.48,    4.12,    7.11,    6.09,    9.04,    3.09,    6.70,    2.09
200508,   -1.52,   -0.93,   -1.69,    1.18,   -1.09,   -1.07,   -0.04,   -1.36,   -2.30,    1.59,    0.58,   -1.31,   -0.82,   -1.59,   -0.78,    0.64,   -0.53
200509,    0.29,    2.29,   -0.47,    0.48,    1.48,    2.64,    1.45,   -0.33,   -0.74,   -0.44,    1.86,    1.30,    1.69,    3.85,    1.95,    2.57,    0.62
200510,   -1.75,   -2.67,   -1.32,   -1.99,   -2.95,   -1.95,   -0.50,   -0.84,   -2.22,   -2.64,   -1.02,   -2.09,   -3.92,   -3.87,   -0.83,   -2.85,    1.27
200511,    3.45,    2.23,    2.45,    4.80,    4.26,    4.88,    4.71,    2.19,    2.93,    6.62,    2.14,    5.52,    2.80,    5.73,    4.40,    4.67,    4.73
200512,   -0.53,   -0.25,    0.52,    0.25,    0.73,   -0.19,    1.20,    0.17,    1.17,   -0.36,    1.16,    1.65,   -0.37,   -0.41,   -0.06,    1.89,    0.70
200601,    2.50,    3.31,    2.42,    3.85,    6.49,    3.57,    4.07,    2.17,    2.88,    4.41,    3.02,    6.53,    6.44,    6.98,    1.65,    6.21,    2.50
200602,    0.84,    2.87,    1.12,   -0.61,   -0.93,   -1.06,   -0.76,    1.57,    0.30,   -1.24,    0.33,   -0.58,   -1.34,   -2.09,   -0.45,   -1.59,   -0.13
200603,    1.07,   -0.09,    2.39,    1.43,    2.89,    3.44,    1.87,    2.60,    1.99,    1.76,    0.93,    2.75,    3.05,    2.60,    3.94,    1.31,    2.29
200604,    0.89,    1.57,    0.74,    0.03,    1.73,    0.95,    2.68,    0.34,    1.48,   -0.71,    1.15,    1.71,    1.75,    0.43,    1.25,    1.23,    3.76
200605,   -1.91,   -1.77,   -2.13,   -3.06,   -4.42,   -4.62,   -4.73,   -1.51,   -3.27,   -3.55,   -2.34,   -4.36,   -4.50,   -5.58,   -4.05,   -4.72,   -4.73
200606,   -0.13,    0.37,    0.58,    0.62,    0.33,   -0.82,    0.56,    0.76,    0.25,    0.68,    0.53,    0.51,    0.12,   -1.47,   -0.45,   -0.34,    1.21
200607,    0.46,   -1.29,   -0.09,    0.12,   -2.80,   -3.31,   -1.07,    1.18,   -1.92,   -0.35,    0.53,   -3.68,   -1.93,   -4.07,   -2.67,   -1.30,   -0.75
200608,    2.73,    2.16,    3.25,    3.15,    0.71,    3.13,    0.53,    3.62,    2.69,    1.80,    4.31,    0.62,    0.79,    3.14,    3.12,    1.40,   -0.66
200609,    3.16,    0.68,    1.40,    0.48,    1.42,    0.46,    1.58,    1.28,    1.58,    1.70,   -0.55,    0.70,    2.12,    0.82,    0.17,    2.67,    0.04
200610,    3.14,    6.40,    3.97,    3.80,    4.17,    3.80,    4.59,    4.86,    2.64,    2.58,    4.86,    3.64,    4.69,    2.45,    4.93,    3.80,    5.73
200611,    1.50,    4.44,    1.96,    2.01,    2.82,    2.76,    3.95,    1.85,    2.14,    0.97,    2.89,    3.67,    2.01,    2.31,    3.12,    4.29,    3.47
200612,    1.77,    0.50,    2.46,    0.80,    0.02,    0.20,   -0.58,    1.79,    3.51,    0.61,    0.96,    0.61,   -0.56,    0.53,   -0.06,   -0.76,   -0.32
200701,    1.52,    1.30,    1.30,    2.85,    2.94,    1.42,    2.53,    0.81,    2.06,    3.74,    2.10,    3.44,    2.46,    2.42,    0.61,    2.35,    2.79
200702,   -2.33,    1.16,   -1.92,   -0.57,   -0.69,    0.77,   -0.74,   -2.56,   -0.94,   -0.67,   -0.48,   -0.52,   -0.86,    1.38,    0.26,   -1.71,    0.65
200703,    0.62,    1.49,    0.59,    1.47,    1.62,    1.30,    3.00,   -0.32,    1.97,    0.16,    2.58,    2.12,    1.11,    0.79,    1.74,    3.20,    2.71
200704,    4.54,    2.53,    4.25,    3.40,    4.25,    3.23,    2.76,    3.80,    4.92,    2.88,    3.83,    5.79,    2.71,    2.98,    3.44,    2.89,    2.57
200705,    3.13,    6.25,    2.15,    3.12,    5.23,    3.65,    5.91,    1.99,    2.38,    2.99,    3.23,    5.59,    4.86,    4.69,    2.77,    5.51,    6.47
200706,   -1.86,   -0.80,   -1.49,   -2.21,    0.00,   -2.58,   -0.69,   -1.10,   -2.07,   -2.64,   -1.86,    0.37,   -0.40,   -2.61,   -2.55,   -0.49,   -0.97
200707,   -3.27,   -5.93,   -4.53,   -3.61,   -3.71,   -0.84,   -3.85,   -4.13,   -5.29,   -4.11,   -2.48,   -2.94,   -4.60,    0.05,   -1.62,   -3.43,   -4.05
200708,    1.20,    1.76,    2.17,    1.99,    1.81,    0.37,    2.13,    3.10,    0.39,    2.41,    1.06,    1.82,    1.79,    1.32,   -0.46,    2.90,    1.75
200709,    3.24,   -1.04,    3.56,    2.26,    3.87,    6.11,    3.86,    3.46,    3.77,    1.66,    3.63,    3.63,    4.13,    5.48,    6.67,    2.42,    4.56
200710,    1.15,    1.08,    2.92,    3.51,    4.31,    7.03,    0.00,    2.40,    3.97,    2.94,    4.77,    5.13,    3.36,    6.15,    7.81,    0.07,   -0.04
200711,   -4.11,   -3.41,   -5.27,   -1.60,   -4.88,   -5.75,   -5.42,   -6.16,   -3.53,   -0.85,   -3.23,   -4.38,   -5.45,   -6.25,   -5.31,   -5.78,   -5.25
200712,   -1.10,   -4.56,   -0.98,    0.35,    1.05,    0.31,   -0.27,   -0.11,   -2.64,   -1.04,    3.49,    0.85,    1.28,    0.00,    0.58,   -2.68,    0.88
200801,   -5.58,   -3.28,   -5.74,   -4.40,   -4.19,  -12.10,   -5.56,   -6.45,   -4.35,   -2.55,   -8.49,   -2.70,   -5.87,  -13.96,  -10.48,   -2.72,   -6.85
200802,   -3.13,   -4.57,   -0.49,   -2.30,   -1.38,   -3.34,   -4.85,   -0.61,   -0.27,   -2.35,   -2.17,    1.08,   -4.18,   -3.01,   -3.62,   -5.89,   -4.35
200803,   -0.25,    2.11,   -2.62,   -1.15,   -1.06,   -2.18,    0.42,   -3.57,   -0.80,   -0.90,   -1.75,   -1.50,   -0.53,    0.26,   -4.20,   -0.84,    1.02
200804,    3.86,    5.61,    5.19,    3.01,    5.97,    9.97,    4.01,    4.97,    5.61,    2.58,    4.02,    5.74,    6.24,    7.94,   11.76,    4.48,    3.80
200805,    1.32,   -0.93,    0.33,    4.92,    4.25,    4.15,    1.89,   -1.76,    4.18,    5.42,    3.76,    4.90,    3.46,    3.99,    4.29,    1.11,    2.25
200806,   -8.51,  -10.55,   -7.86,   -6.41,   -5.92,   -8.11,  -10.39,   -8.97,   -5.91,   -5.88,   -7.66,   -4.52,   -7.65,  -10.47,   -6.12,  -12.04,   -9.64
200807,    1.18,   -0.57,   -5.89,   -1.80,   -3.93,   -2.34,   -4.09,   -8.60,   -3.65,   -3.79,    0.50,   -6.74,   -0.66,   -3.26,   -1.26,   -1.93,   -6.43
200808,    1.87,    0.25,    1.59,    3.44,    1.28,    2.21,   -1.99,    2.32,    1.02,    4.05,    2.73,    0.83,    1.76,    2.92,    1.37,   -2.04,   -1.95
200809,   -7.31,   -3.35,   -8.19,  -11.32,  -11.35,  -17.94,  -14.14,  -13.42,   -4.04,  -11.77,  -10.78,  -12.94,   -9.61,  -20.75,  -14.47,  -14.57,  -13.65
200810,  -16.22,  -16.48,  -16.68,  -16.59,  -20.62,  -18.59,  -21.93,  -19.05,  -14.99,  -17.80,  -15.21,  -17.00,  -24.44,  -18.29,  -18.93,  -22.20,  -21.63
