This file was created using the 202605 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on VAR.

The portfolios are constructed at the end of each month.

The total return variance is measured over 60 days up to formation month-end requiring at least 20 non-missing daily returns.  
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Value Weighted Returns -- Monthly
,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
196606,   -2.17,   -0.96,   -0.75,   -0.07,    2.75,   -2.35,   -1.93,   -0.67,   -1.43,   -1.14,   -0.01,   -0.42,    0.31,    1.21,    4.10
196607,   -0.45,   -2.00,   -0.60,   -3.70,   -1.68,   -0.74,    0.05,   -0.68,   -2.87,   -0.68,   -0.54,   -3.56,   -3.84,   -1.91,   -1.51
196608,   -6.25,   -7.53,   -7.50,  -10.82,  -10.04,   -6.03,   -6.55,   -7.54,   -7.52,   -6.88,   -8.08,   -8.59,  -12.67,  -11.27,   -9.25
196609,    0.54,   -0.33,   -0.98,   -1.65,   -5.51,    2.46,   -1.03,   -0.51,   -0.12,   -0.78,   -1.17,   -1.55,   -1.78,   -4.27,   -6.38
196610,    5.73,    5.83,    5.27,    4.15,   -7.10,    7.37,    3.98,    6.68,    4.64,    5.64,    4.61,    4.44,    3.51,   -4.54,   -9.59
196611,   -1.38,   -0.03,    1.57,    4.13,   17.16,   -0.73,   -1.82,   -3.50,    3.43,   -0.40,    4.21,    3.92,    4.42,   13.68,   19.71
196612,    0.74,   -0.27,    0.94,    1.73,    0.66,   -1.17,    2.44,   -0.89,    0.99,    2.10,   -0.46,    0.75,    3.28,    2.22,   -0.45
196701,    6.89,    6.85,    8.87,   12.39,   17.60,    7.71,    6.40,    7.47,    6.07,    9.15,    8.61,   12.16,   12.66,   15.26,   21.45
196702,    1.00,    0.02,    1.47,    1.62,    4.86,   -0.04,    2.21,   -0.66,    1.24,    1.53,    1.39,    2.86,   -0.09,    3.09,    6.57
196703,    3.33,    4.87,    5.74,    6.56,    5.00,    2.88,    4.02,    5.70,    3.49,    6.34,    5.09,    6.60,    6.50,    4.23,    5.73
196704,    3.96,    3.19,    5.63,    5.75,    4.78,    0.68,    7.57,    2.90,    3.58,    4.45,    7.21,    6.08,    5.30,    5.48,    4.08
196705,   -4.11,   -4.28,   -4.37,   -2.42,   -2.88,   -3.21,   -5.20,   -4.46,   -3.99,   -4.48,   -4.23,   -2.76,   -2.02,   -3.73,   -2.17
196706,    1.46,    1.20,    3.61,    6.24,   10.64,    1.68,    1.32,    1.05,    1.36,    4.88,    2.47,    5.89,    6.61,    8.14,   12.79
196707,    2.83,    6.33,    5.07,    7.82,    8.37,   -0.07,    4.74,    5.78,    6.91,    5.01,    5.16,    8.29,    7.27,    7.95,    8.75
196708,   -0.83,   -0.13,   -0.13,   -0.76,   -2.05,   -1.30,   -0.52,    0.16,   -0.83,   -0.39,    0.09,    0.02,   -1.88,   -2.15,   -1.95
196709,    3.20,    3.40,    3.03,    3.82,    5.37,    4.14,    2.07,    3.44,    3.32,    3.29,    2.79,    3.72,    3.96,    3.85,    6.88
196710,   -1.37,   -4.59,   -4.83,   -1.26,   -1.64,   -2.15,   -0.89,   -4.30,   -4.97,   -5.18,   -4.34,   -1.17,   -1.39,   -0.01,   -3.11
196711,    1.21,   -0.41,    0.35,    1.85,    0.57,    0.62,    1.71,   -0.64,   -0.06,    0.16,    0.53,    1.88,    1.81,    1.57,   -0.24
196712,    2.63,    2.60,    2.35,    5.17,    8.98,    2.01,    3.10,    3.23,    1.93,    1.88,    2.75,    4.06,    6.55,    8.02,   10.05
196801,   -1.76,   -4.93,   -5.28,   -6.73,   -4.84,    0.15,   -3.66,   -3.61,   -6.17,   -6.20,   -4.36,   -4.53,   -8.81,   -7.02,   -3.05
196802,   -1.71,   -3.38,   -3.43,   -6.49,   -9.09,   -1.67,   -1.77,   -3.61,   -3.07,   -3.86,   -2.74,   -6.64,   -6.29,   -7.54,  -10.39
196803,    0.55,   -0.09,    1.35,    2.11,   -0.10,    0.32,    0.85,   -1.03,    0.91,   -0.58,    3.40,    2.97,    0.80,    1.53,   -1.62
196804,    6.47,   10.08,   10.66,   12.34,   17.22,    6.01,    7.49,   10.11,   10.02,   10.22,   11.31,   11.13,   14.15,   15.34,   18.66
196805,    1.28,    1.93,    3.29,    5.50,    7.39,    0.15,    2.12,    1.02,    3.38,    2.48,    4.23,    5.21,    5.86,    6.21,    8.60
196806,    2.00,    2.04,    0.17,   -0.16,   -2.25,    2.56,    1.54,    2.23,    1.71,   -0.30,    0.97,    0.10,   -0.43,   -2.00,   -2.48
196807,   -0.09,   -3.02,   -2.67,   -6.60,   -4.73,    1.69,   -2.10,   -2.93,   -3.18,   -2.70,   -2.62,   -7.16,   -5.88,   -5.77,   -3.88
196808,    1.38,    1.44,    3.32,    2.03,    2.40,    1.16,    1.75,    0.73,    2.79,    3.35,    3.27,    1.77,    2.36,    1.13,    3.32
196809,    3.35,    3.36,    5.09,    7.17,    9.23,    3.27,    3.46,    2.74,    4.60,    4.64,    5.58,    7.32,    7.01,    6.84,   10.66
196810,    1.51,    1.15,    1.56,   -0.76,   -2.11,    2.95,    0.31,    0.14,    2.63,    1.41,    1.69,   -0.58,   -0.97,   -0.80,   -2.92
196811,    4.51,    5.84,    6.94,    7.71,    9.05,    5.90,    2.63,    4.92,    7.47,    7.64,    6.13,    7.69,    7.73,    9.58,    8.67
