This file was created using the 202605 CRSP database.  It
contains a momentum factor, constructed from six value-weight portfolios formed
using independent sorts on size and prior return of NYSE, AMEX, and NASDAQ stocks.
LT_Rev is the average of the returns on two (big and small) low prior return portfolios
minus the average of the returns on two high prior return portfolios.  The portfolios
are constructed monthly.  Big means a firm is above the median market cap on the NYSE
at the end of the previous month; small firms are below the median NYSE market cap.
Prior return is measured from month -60 to -13.  Firms in the low prior return
portfolio are below the 30th NYSE percentile.  Those in the high portfolio are above
the 70th NYSE percentile.

Missing data are indicated by -99.99 or -999.

,LT_Rev
195906,  -0.12
195907,  -0.40
195908,  -1.11
195909,  -0.24
195910,  -0.11
195911,  -0.31
195912,  -0.53
196001,   0.94
196002,  -0.83
196003,  -1.53
196004,  -1.18
196005,  -3.38
196006,   0.06
196007,   0.21
196008,   0.94
196009,   1.24
196010,   1.29
196011,  -2.52
196012,  -0.57
196101,   3.59
196102,  -2.80
196103,  -3.09
196104,   0.86
196105,   0.75
196106,  -1.68
196107,  -0.27
196108,  -1.66
196109,  -2.74
196110,  -0.41
196111,  -2.51
196112,   3.32
196201,   6.77
196202,   1.11
196203,  -1.12
196204,   0.53
196205,   3.34
196206,   1.71
196207,  -1.87
196208,  -1.09
196209,   1.76
196210,   0.82
196211,   0.82
196212,  -0.47
196301,   1.63
196302,   0.70
196303,   1.29
196304,   1.02
196305,   2.41
196306,  -0.22
196307,  -1.05
196308,   1.53
196309,  -0.13
196310,  -0.28
196311,   0.01
196312,   0.01
196401,   0.07
196402,   1.36
196403,   3.88
196404,  -2.49
196405,  -0.12
196406,  -0.48
196407,   0.04
196408,  -0.81
196409,   3.73
196410,  -0.72
196411,  -1.63
196412,  -1.63
196501,   2.36
196502,   2.86
196503,   0.61
196504,   0.18
196505,  -0.04
196506,  -1.84
196507,   1.52
196508,   1.61
196509,   1.99
196510,   0.90
196511,   0.98
196512,  -0.30
196601,   1.51
196602,   1.38
196603,   0.55
196604,   1.63
196605,  -0.94
196606,   1.42
196607,  -0.43
196608,   2.20
196609,  -1.57
196610,   0.08
196611,  -0.14
196612,   0.34
196701,   0.53
196702,   2.21
196703,  -0.72
196704,  -3.69
196705,  -0.30
196706,  -0.46
196707,  -1.58
196708,   0.28
196709,  -0.92
196710,   0.26
196711,  -2.13
196712,   1.77
196801,   6.15
196802,   2.52
196803,  -2.40
196804,  -4.70
196805,  -1.86
196806,   2.75
196807,   6.25
196808,   0.81
196809,  -0.06
196810,   2.67
196811,  -2.19
196812,  -0.89
196901,   2.55
196902,   2.45
196903,   0.02
196904,   0.10
196905,   1.49
196906,   1.51
196907,   3.04
196908,  -4.57
196909,  -1.03
196910,  -1.67
196911,  -0.51
196912,   0.18
197001,   4.15
197002,   2.38
197003,   5.19
197004,   6.85
197005,   4.09
197006,   3.21
197007,   1.63
197008,  -0.54
197009,  -7.55
197010,   0.93
197011,   2.03
197012,   1.08
197101,   1.28
197102,  -0.36
197103,  -1.91
197104,   1.54
197105,  -0.66
197106,  -1.00
197107,  -2.90
197108,   1.88
197109,  -1.70
197110,  -0.02
197111,  -0.88
197112,   0.78
197201,   2.93
197202,  -1.42
197203,  -1.55
197204,  -0.35
197205,  -1.20
197206,  -1.14
197207,  -0.24
197208,   3.06
197209,  -1.25
197210,   0.19
197211,   1.39
197212,  -2.33
197301,  -0.08
197302,  -0.22
197303,   0.88
197304,   2.48
197305,  -2.53
197306,  -0.36
197307,   0.51
197308,   0.30
197309,   5.70
197310,   2.22
197311,  -2.26
197312,   2.56
197401,   7.64
197402,   4.36
197403,  -0.28
197404,   1.22
197405,  -2.89
197406,  -1.93
197407,   3.19
197408,   2.05
197409,   0.94
197410,  -5.24
197411,   0.06
197412,  -4.02
197501,  14.60
197502,   0.17
197503,   4.96
197504,  -1.92
197505,   2.05
197506,   2.47
197507,   0.90
197508,  -2.37
197509,  -1.44
197510,   0.80
197511,   2.04
197512,  -0.33
197601,   9.22
197602,   5.01
197603,   0.26
197604,  -1.77
197605,  -3.42
197606,   1.92
197607,   0.32
197608,   0.39
197609,  -0.38
197610,  -1.62
197611,   1.32
197612,   2.81
197701,   0.87
197702,  -1.48
197703,  -0.72
197704,   0.25
197705,   0.25
197706,   3.23
197707,   1.40
197708,   3.50
197709,   0.43
197710,  -1.29
197711,   3.21
197712,  -1.69
197801,   1.46
197802,  -0.70
197803,   0.81
197804,   1.79
197805,  -0.02
197806,   0.03
197807,   0.67
197808,  -0.67
197809,  -0.64
197810,  -0.27
197811,  -0.90
197812,   0.21
197901,  -0.60
197902,   0.88
197903,  -0.29
197904,  -0.43
197905,   0.70
197906,  -2.57
197907,  -1.97
197908,  -1.68
197909,   0.17
197910,   1.48
197911,  -2.15
197912,  -0.43
198001,  -0.52
198002,  -0.04
198003,   2.65
198004,  -0.02
198005,   0.87
198006,  -2.71
198007,  -1.63
198008,  -1.49
198009,  -1.77
198010,  -2.56
198011,  -7.79
198012,   3.44
198101,   7.57
198102,   2.57
198103,   1.40
198104,   2.76
198105,   1.61
198106,   1.09
198107,  -3.56
198108,   1.26
198109,   5.20
198110,  -4.85
198111,   0.65
198112,   1.30
198201,   6.33
198202,   5.96
198203,   3.92
198204,  -1.73
198205,   1.53
198206,   1.92
198207,   2.20
198208,  -0.91
198209,  -0.69
198210,  -0.57
198211,   1.08
198212,   0.96
198301,   0.10
198302,  -0.40
198303,   1.03
198304,   3.05
198305,  -2.03
198306,  -0.85
198307,   1.46
198308,   0.10
198309,   0.76
198310,   1.08
198311,  -1.29
198312,   1.32
198401,   4.11
198402,   0.26
198403,   0.89
198404,  -1.68
198405,  -0.22
198406,  -3.60
198407,  -1.53
198408,  -1.78
198409,   1.74
198410,  -1.54
198411,   0.90
198412,  -3.00
198501,  -1.75
198502,  -0.14
198503,  -1.06
198504,  -0.06
198505,  -3.84
198506,  -2.30
198507,   1.50
198508,   0.04
198509,  -0.77
198510,  -2.47
198511,  -2.24
198512,  -3.02
198601,  -2.73
198602,  -3.50
198603,  -2.58
198604,  -1.21
198605,  -1.46
198606,  -6.36
198607,  -3.85
198608,   4.65
198609,   3.87
198610,   0.79
198611,   0.12
198612,   0.50
198701,   3.23
198702,  -0.06
198703,   3.90
198704,   3.70
198705,   2.09
198706,  -1.55
198707,   2.22
198708,  -2.87
198709,   2.93
198710,  -5.69
198711,  -0.30
198712,   2.64
198801,  -1.61
198802,   1.30
198803,   1.21
198804,   0.40
198805,  -0.06
198806,   1.73
198807,  -1.47
198808,  -1.91
198809,  -1.99
198810,  -0.22
198811,  -0.80
198812,   0.74
198901,   2.89
198902,   0.89
198903,   0.50
198904,  -1.10
198905,  -1.79
198906,  -0.78
198907,  -1.81
198908,  -0.30
198909,  -2.65
198910,  -3.56
198911,  -1.21
198912,  -0.78
199001,   3.38
199002,   1.96
199003,  -0.21
199004,  -1.29
199005,   0.80
199006,  -1.52
199007,  -1.81
199008,   1.60
199009,   0.60
199010,  -3.49
199011,  -0.74
199012,  -2.16
199101,   6.11
199102,   1.11
199103,  -0.36
199104,  -1.29
199105,   1.36
199106,  -1.80
199107,   0.77
199108,  -0.51
199109,  -0.92
199110,   2.28
199111,  -2.65
199112,  -0.95
199201,   9.37
199202,   5.29
199203,   1.40
199204,   0.62
199205,  -0.46
199206,   1.31
199207,  -1.36
199208,  -4.14
199209,   0.11
199210,  -1.03
199211,   0.27
199212,   0.93
199301,   5.52
199302,   4.23
199303,   2.09
199304,   2.37
199305,   1.22
199306,   1.72
199307,   1.13
199308,   0.97
199309,   0.67
199310,   1.91
199311,   1.46
199312,   0.59
199401,   3.81
199402,  -0.16
199403,   0.51
199404,   0.48
199405,   1.63
199406,   0.48
199407,   0.41
199408,   2.28
199409,   1.61
199410,   0.63
199411,  -1.67
199412,   0.25
199501,  -0.51
199502,  -0.91
199503,   1.15
199504,   0.44
199505,  -1.11
199506,  -1.78
199507,  -0.87
199508,  -1.11
199509,  -0.92
199510,   0.61
199511,   0.68
199512,   3.94
199601,   1.26
199602,  -1.27
199603,  -0.26
199604,  -0.63
199605,   1.45
199606,  -0.09
199607,  -0.03
199608,  -1.53
199609,  -2.15
199610,   0.07
199611,  -2.44
199612,  -0.60
199701,  -1.58
199702,   0.94
199703,   2.07
199704,  -3.89
199705,  -2.07
199706,   0.17
199707,  -1.11
199708,   3.14
199709,  -0.47
199710,   0.36
199711,   0.95
199712,   0.15
199801,  -1.03
199802,  -1.19
199803,   2.22
199804,  -0.96
199805,   1.45
199806,  -0.90
199807,   0.43
199808,   4.19
199809,   0.31
199810,  -4.11
199811,  -0.36
199812,  -1.07
199901,   1.20
199902,   0.39
199903,  -1.11
199904,   5.28
199905,   3.46
199906,  -0.13
199907,   1.95
199908,  -1.73
199909,   0.36
199910,  -2.90
199911,   5.18
199912,   5.62
200001,   1.62
200002,   7.46
200003,  -4.84
200004,   0.34
200005,  -1.82
200006,   2.29
200007,  -3.10
200008,   1.29
200009,  -2.60
200010,  -1.03
200011,   0.56
200012,   3.00
200101,  -2.70
200102,  11.04
200103,   3.89
200104,  -3.86
200105,   3.78
200106,   1.88
200107,   2.76
200108,   5.78
200109,   0.18
200110,  -1.59
200111,   0.30
200112,   1.17
200201,   3.18
200202,   3.93
200203,   2.06
200204,   5.91
200205,   2.25
200206,   2.12
200207,  -2.91
200208,  -0.71
200209,  -0.72
200210,  -0.18
200211,   4.26
200212,   1.93
200301,   0.31
200302,  -1.76
200303,  -2.74
200304,  -0.97
200305,   3.48
200306,   1.19
200307,   0.78
200308,  -0.51
200309,   1.09
200310,   1.97
200311,   1.96
200312,   1.87
200401,   2.04
200402,  -2.86
200403,  -1.78
200404,  -2.19
200405,   0.86
200406,   1.80
200407,  -2.44
200408,  -2.96
200409,  -1.38
200410,   0.94
200411,  -1.03
200412,   0.80
200501,  -2.97
200502,  -1.53
200503,  -0.75
200504,  -1.39
200505,   0.72
200506,  -1.49
200507,   0.92
200508,   0.44
200509,  -0.10
200510,  -1.07
200511,   0.32
200512,  -1.01
200601,   1.19
200602,   1.33
200603,   0.49
200604,  -0.32
200605,  -0.20
200606,  -1.11
200607,   1.44
200608,   2.94
200609,   1.74
200610,  -0.48
200611,  -1.87
200612,   1.90
200701,  -0.66
200702,  -0.67
200703,  -1.12
200704,   0.31
200705,  -2.45
200706,  -0.14
200707,  -2.03
200708,  -0.12
200709,  -2.73
200710,  -1.62
200711,   0.57
200712,  -1.81
200801,   1.82
200802,  -1.99
200803,   2.96
200804,  -4.61
200805,  -4.36
200806,  -3.05
200807,   7.45
200808,   1.36
200809,   5.63
200810,   2.10
200811,  -2.29
200812,   0.11
200901,  -6.71
200902,   1.24
200903,   3.49
200904,  -0.28
200905,  -1.43
200906,   1.37
200907,   4.99
200908,   5.62
200909,  -1.67
200910,  -4.84
200911,   1.39
200912,   0.82
201001,   1.75
201002,   2.58
201003,   4.28
201004,   4.76
201005,  -3.06
201006,  -5.29
201007,   0.79
201008,  -3.80
201009,   1.86
201010,  -2.12
201011,  -0.87
201012,   4.59
201101,   0.84
201102,   1.07
201103,  -1.99
201104,  -2.22
201105,  -2.39
201106,  -2.00
201107,  -2.47
201108,  -6.23
201109,  -5.14
201110,   3.83
201111,  -3.46
201112,   2.07
201201,   1.57
201202,   1.70
201203,   2.70
201204,  -1.92
201205,  -1.92
201206,   1.64
201207,  -2.05
201208,   2.16
201209,   1.78
201210,   1.03
201211,  -0.62
201212,   3.76
201301,   3.31
201302,  -0.16
201303,   1.47
201304,  -0.30
201305,   3.07
201306,  -0.91
201307,   1.70
201308,  -1.38
201309,  -0.10
201310,   0.25
201311,   0.33
201312,  -0.90
201401,   1.24
201402,  -1.08
201403,   2.86
201404,   0.20
201405,  -0.69
201406,   0.45
201407,   0.27
201408,  -1.21
201409,  -0.87
201410,  -3.24
201411,  -1.59
201412,   0.43
201501,  -3.38
201502,  -2.00
201503,  -2.48
201504,   1.17
201505,  -0.90
201506,  -0.97
201507,  -1.61
201508,   1.38
201509,   0.03
201510,  -0.55
201511,  -0.17
201512,  -2.41
201601,  -1.09
201602,   0.59
201603,   4.01
201604,   4.84
201605,  -2.19
201606,   1.21
201607,  -0.21
201608,   0.65
201609,   1.59
201610,  -1.00
201611,   1.89
201612,  -2.58
201701,  -1.29
201702,  -3.29
201703,  -1.23
201704,  -3.50
201705,  -2.51
201706,  -0.69
201707,   0.56
201708,  -2.06
201709,   0.55
201710,  -1.95
201711,   0.78
201712,   1.94
201801,  -1.90
201802,  -3.43
201803,   1.85
201804,   2.81
201805,  -0.22
201806,   0.95
201807,  -1.52
201808,  -2.68
201809,   1.84
201810,  -1.60
201811,  -3.88
201812,  -2.82
201901,   2.26
201902,  -0.58
201903,  -0.89
201904,  -3.00
201905,  -4.19
201906,  -0.36
201907,  -3.15
201908,  -5.02
201909,   2.69
201910,  -3.39
201911,  -0.02
201912,   0.96
202001,  -5.02
202002,  -1.66
202003,  -8.66
202004,   3.06
202005,  -1.91
202006,   2.18
202007,  -0.08
202008,   2.07
202009,  -2.98
202010,  -0.68
202011,   6.37
202012,  -0.82
202101,   9.43
202102,   4.07
202103,   3.26
202104,  -1.91
202105,   5.32
202106,  -1.72
202107,  -7.52
202108,  -1.03
202109,   4.83
202110,  -3.12
202111,  -3.96
202112,  -0.43
202201,  11.91
202202,   5.19
202203,   1.52
202204,   7.09
202205,   5.67
202206,  -2.08
202207,  -6.36
202208,   4.29
202209,  -1.42
202210,   9.02
202211,  -0.70
202212,   2.25
202301,  -1.20
202302,  -2.36
202303,  -5.47
202304,  -0.35
202305,  -4.10
202306,  -0.11
202307,   3.33
202308,  -2.49
202309,   0.26
202310,  -1.90
202311,   0.82
202312,   0.17
202401,   0.82
202402,   0.51
202403,   0.09
202404,  -2.32
202405,  -2.36
202406,  -2.27
202407,   1.73
202408,   0.71
202409,  -0.19
202410,   1.90
202411,   0.74
202412,  -1.64
202501,   1.30
202502,   2.47
202503,   1.72
202504,  -1.29
202505,  -3.97
202506,  -3.92
202507,  -4.21
202508,   2.34
202509,  -3.69
202510,   0.06
202511,   1.77
202512,  -0.26
202601,  -0.61
202602,   1.16
202603,  -3.15
202604,   6.61
202605,   4.34

Annual Factors:
January-December 
,LT_Rev
  1931,  -4.09
  1932,  13.60
  1933,  94.08
  1934, -11.82
  1935,  38.08
  1936,  14.26
  1937,  -1.30
  1938, -11.08
  1939, -12.13
  1940, -10.66
  1941,  -7.85
  1942,  31.13
  1943,  45.26
  1944,   2.83
  1945, -16.09
  1946,  14.15
  1947,   9.09
  1948,   7.41
  1949,   0.90
  1950,  13.48
  1951, -13.33
  1952,  -4.64
  1953,  -2.05
  1954, -20.57
  1955, -11.71
  1956,  -5.30
  1957,   4.95
  1958,  -0.21
  1959,  -0.68
  1960,  -4.95
  1961,  -8.62
  1962,  11.77
  1963,   7.97
  1964,   1.19
  1965,  13.22
  1966,   5.49
  1967,  -4.81
  1968,  12.23
  1969,   3.10
  1970,  24.57
  1971,  -5.26
  1972,  -2.98
  1973,   6.47
  1974,   3.97
  1975,  28.40
  1976,  16.49
  1977,   7.97
  1978,   1.55
  1979,  -7.81
  1980, -13.88
  1981,  17.47
  1982,  26.37
  1983,   5.75
  1984,  -4.96
  1985, -20.18
  1986, -12.68
  1987,   7.89
  1988,  -3.53
  1989, -12.06
  1990,  -2.16
  1991,   4.25
  1992,  13.50
  1993,  27.63
  1994,  10.14
  1995,  -0.48
  1996,  -7.39
  1997,  -0.89
  1998,  -0.81
  1999,  21.05
  2000,   1.46
  2001,  26.07
  2002,  17.52
  2003,   9.85
  2004,  -9.81
  2005,  -8.79
  2006,   7.67
  2007, -12.97
  2008,   3.85
  2009,   3.25
  2010,   3.98
  2011, -18.72
  2012,  10.82
  2013,   8.11
  2014,  -3.28
  2015, -11.44
  2016,   8.38
  2017, -14.81
  2018, -10.13
  2019, -19.27
  2020, -14.62
  2021,   8.06
  2022,  33.69
  2023, -17.00
  2024,  -3.02
  2025,  -7.92

Copyright 2026 Eugene F. Fama and Kenneth R. French
